N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,-0.0014426950408889003,-0.011541560327111702,-0.038904676269305806,-0.0897356315432936,-0.1501364639218448,-0.20168876671627708,-0.22405053985005613,-0.21582717811698893,-0.18504968391135768,-0.13489198632311794,-0.07362553692003337,-0.0028853900817780165,0.07256756055671465,0.1466739958237111,0.21799122067832277,0.29224192544940797,0.35822117865272984,0.4234790843356073,0.4795037417567949,0.5342299736411835,0.5790496995781336,0.6332950331155587,0.6716707212032049,0.7113448348276514,0.7427955867190303,0.7742463386104101,0.8094480976081007,0.8361860456992432,0.8565761356104735,0.8896619418815273,0.9017324903902988,0.9165441594767585,0.9401081784779453,0.9546313085562272,0.9630470296280798,0.9736748830959616,0.9861301502823026,0.9997876633360521,1.0070973182098895,1.014647422257208,1.025804263906749,1.0282087556415644,1.0407121126626022,1.0424433467116687,1.0457134554710175,1.0492240134038469,1.0517727746427512,1.0588419803431068,1.0605732143921736
1000,-0.000575837823487001,-0.005770780163555899,-0.019476383052000997,-0.0461421963910987,-0.088990239105501,-0.14366838115519262,-0.1963988848996843,-0.2414831049274644,-0.2632197102101914,-0.2723567788024881,-0.2659848757052288,-0.24648444773587952,-0.2154665043567665,-0.17656182808746101,-0.13231918016686617,-0.08223361733067036,-0.029623338172920066,0.024309411438979467,0.07922800266215191,0.13431490830676251,0.18920945461258798,0.23919883777938944,0.29327585689537816,0.34158209584781085,0.38991237971759096,0.43386648863000765,0.4788545289883954,0.5158596567871969,0.5564715221882217,0.5940537280033782,0.6214168439455725,0.6559453452575155,0.6861938512814874,0.7168751658177257,0.7427474968843351,0.7691969059672981,0.7929773292246187,0.8144253954991689,0.8308240291306057,0.856287596602296,0.8694161214743859,0.8901428402284908,0.9062048450170543,0.9190207859636184,0.9356598687685374,0.9463117671537673,0.9605223133065239,0.9778106088798428,0.9887991361079473
1500,-5.438231950970001e-05,-0.0038471867757039,-0.0129842553680007,-0.030777494205631202,-0.060048173590778395,-0.1019664795010522,-0.15300582405872393,-0.20216966506324,-0.2446490190449707,-0.2776226157017328,-0.2942296386168547,-0.2996798198824352,-0.2981890350068499,-0.2815018623672344,-0.2606148441641418,-0.23134416477899467,-0.20043843101417336,-0.16435502504705068,-0.1219878806796113,-0.07750478358553492,-0.0348811600997152,0.010836242751565806,0.05679409477632902,0.10397022261339917,0.1474113732890543,0.19354555470770407,0.23753172350991747,0.27892104123853256,0.32265073092236696,0.35891046628337664,0.3998028557201292,0.4366877589321909,0.4718895179298812,0.5079408640072063,0.5394557356781808,0.5734873086982617,0.5948391953034178,0.6261617076356076,0.6549675186186912,0.6766079442320247,0.7050290365375371,0.7237520121792964,0.7499449421438809,0.7729960029083061,0.7902121637295814,0.8102175349632419,0.8286038817621266,0.8445055871017026,0.8633407723577533
2000,-0.00026770941133018734,-0.0028771814452741005,-0.0097381915260005,-0.0230831206542235,-0.0450842200277802,-0.0776891279518707,-0.11999616002593959,-0.1675690289992531,-0.2161157171251668,-0.2558018532082874,-0.28618260627767406,-0.3061879775113344,-0.31546931560772007,-0.3190279633752461,-0.3131489810836239,-0.30045326472380074,-0.28122935330395515,-0.2595889276906209,-0.22984536493095953,-0.19963292628301033,-0.16640285050786785,-0.13121311396885105,-0.09366697552971637,-0.05246600965366177,-0.012731783735845159,0.027543452822304193,0.0695499234295216,0.10816606069065005,0.14708275941862992,0.18739406335280284,0.2259741332379086,0.26364049626378394,0.298998547224238,0.33716985351442474,0.3699430758599531,0.4033174211391839,0.43619884561277855,0.4664473516367509,0.4984751815444852,0.5242994227763971,0.552359841321687,0.5814902586889708,0.605835737503972,0.629724362889359,0.6524948996180573,0.6777059954575901,0.6971463111335692,0.7206021280066888,0.7410042403765935
2500,-0.0002885390081777777,-0.0023083120654222773,-0.0072605566289783,-0.0184664965233788,-0.036067376022224096,-0.062266717964767695,-0.09808402684657101,-0.1417207428499925,-0.1871367827371771,-0.23150446422798227,-0.2697935906131754,-0.2969932011174021,-0.31651767400409936,-0.3298962660166096,-0.3332529364784109,-0.3315601742971015,-0.3244236428281708,-0.3091214574278087,-0.2930594526392447,-0.27178450976960233,-0.24566211156257345,-0.219539713355543,-0.18873336524909412,-0.15730184929159297,-0.12319653852497847,-0.08732152184153907,-0.05244677371978357,-0.01714883505270004,0.018062541911929575,0.055495669239528755,0.09145724762542118,0.12848642034157143,0.1619761812240741,0.19965937569209302,0.2343706183758818,0.2669466723991549,0.2981954469848098,0.3331663747759577,0.36581937253474495,0.39287471353488224,0.4233732866992743,0.4512365369223108,0.480302033012753,0.5063667234181475,0.5331046715092902,0.5575727794027667,0.5806943719247477,0.6028060779181055,0.6243118519942903
3000,-0.0001415727897175696,-0.0018918825683338946,-0.006492127684000258,-0.0153887471028156,-0.0297567949078199,-0.0519209915271039,-0.0822175873857721,-0.1202566466305445,-0.1637218422235492,-0.2069626185879713,-0.2474622743747041,-0.2817583414856145,-0.308672618970643,-0.32696278610013535,-0.3401233708620226,-0.3441468870316129,-0.3447880848275635,-0.33958636770791406,-0.33032105955642677,-0.315028492123004,-0.2965058907924796,-0.2773420916660043,-0.25256781182496124,-0.22833053513802604,-0.20107962881012398,-0.17062273350246837,-0.14119175466833322,-0.10930017929223812,-0.07756890336513012,-0.04409036344405681,-0.010940437393407443,0.02374836336752173,0.0567139450518348,0.08931885297592546,0.12296570731843603,0.15504964203331673,0.18774271465435088,0.220604101696821,0.25073238313405266,0.2818625361274565,0.31182250314325,0.3414698862335199,0.3709008650676533,0.39804757675371416,0.4258435012081745,0.4507219756910601,0.4747668930392095,0.4999980263098669,0.5246681115090692
3500,-0.0001273533487052878,-0.001648794332444446,-0.005564680872000195,-0.0131903546595563,-0.0257624114444458,-0.044517446976002295,-0.0706164872633222,-0.1045129507478276,-0.1445649130734593,-0.1870557170158319,-0.22881143348498958,-0.265929915894147,-0.29699594910795607,-0.31988671042339434,-0.33866922586049164,-0.349935987132196,-0.35580981694152936,-0.3550953393974703,-0.35153669162994405,-0.3410805875716916,-0.3312633913172618,-0.31573037471035725,-0.29850047393631174,-0.27735468662271057,-0.2541410364171681,-0.23077624673115227,-0.2049863553811666,-0.1781934474789426,-0.1494425963069408,-0.12029328650459892,-0.09002417055147216,-0.0599130640552028,-0.029066870085721064,0.0022052624196446935,0.033786543862342366,0.06507928629686255,0.09638576868415294,0.12563125815588805,0.1580025868828825,0.18700762718113584,0.21675462492898845,0.2458695848494057,0.27332888046099235,0.302794209177053,0.3312290414353356,0.3563181951940324,0.3824928052215908,0.4081796469257992,0.4324375335418891
4000,-2.038757014252463e-05,-0.001442695040889,-0.0048398227552338274,-0.0107480265658608,-0.0217380679411356,-0.038952766104001994,-0.0618315049607661,-0.0919357414806492,-0.1284299147858029,-0.1689756566641199,-0.2097257803398961,-0.24903320897478326,-0.2824857002353961,-0.30996302953499394,-0.331891994156506,-0.34774961714761066,-0.35855780749560384,-0.36167162429218935,-0.3636673524320855,-0.35951960418952966,-0.35214983702232194,-0.3414859161784174,-0.3294694687336799,-0.3129566217448385,-0.2945562487441664,-0.27411205776890313,-0.25400449563651306,-0.22995356705902692,-0.20589662725220315,-0.1801144646256505,-0.1528896069582082,-0.1256587380614289,-0.09699118535309781,-0.06853402567156275,-0.039036923314720084,-0.01040543798241167,0.01909166437443055,0.047813318146795236,0.07721424083424511,0.10657909614567185,0.13627456907063706,0.16349341550874152,0.1909767560376765,0.2201913306156782,0.2474642781178158,0.2735830695872443,0.3002909615317,0.3275879539511868,0.35081534410949944
4500,-0.00013365727128479286,-0.0012649174919529846,-0.004328085122666871,-0.0102591647352104,-0.0200374311234579,-0.034624680981335094,-0.054977367687802,-0.081859585283033,-0.1150950043731417,-0.1533691694764293,-0.1941119460941269,-0.2324021411423132,-0.2676893931794641,-0.29784706284900964,-0.32283240363122,-0.34316371707782195,-0.3582532385425271,-0.3652743544081868,-0.37032913036626436,-0.37107185114657393,-0.3677162493477655,-0.36068444685217327,-0.35130692908639527,-0.3389852447742103,-0.3256964204531325,-0.30856575267131814,-0.2907137373690585,-0.27109308481296845,-0.24882749134858262,-0.22634816528554502,-0.2034093141354112,-0.17853083965252603,-0.15241271609746976,-0.12587247066007867,-0.09958336102610188,-0.07308586210844137,-0.04557313334719204,-0.017771865577765222,0.009762236443348726,0.03818332874886066,0.06486250037537467,0.09329427931082002,0.12034213967000484,0.14758770268294086,0.17385009574208699,0.19994150272231126,0.22748094805839214,0.25320366630594604,0.278595099025591
5000,-0.00011721052725592585,-0.0011541560327112,-0.00389527661040019,-0.009170940515229648,-0.016850284658693298,-0.030565779656851498,-0.0494844399024914,-0.07376018845718309,-0.1041866268695314,-0.1403405645942088,-0.178822050318187,-0.2171736934884853,-0.25361136123787087,-0.2863461117156415,-0.3132042843935243,-0.3356430012628175,-0.3526379488444894,-0.3652134406175713,-0.37362435270595407,-0.37573549644912163,-0.3770772028371483,-0.3741533408876132,-0.3673582472450261,-0.3578701228594465,-0.3469537303833863,-0.33430610385826,-0.3194319179866949,-0.30280726213218445,-0.2833789689148798,-0.26348420430102104,-0.24319510304265268,-0.22162200319789305,-0.19864468018000148,-0.17380147157589398,-0.1496988464261091,-0.1252018846318137,-0.09920932897846413,-0.07258198750712408,-0.047767632803834115,-0.020390089911230813,0.005482241155377654,0.03197974007303861,0.05839548627171531,0.08491222112325447,0.11046715928086837,0.13630582746318964,0.16321689895923885,0.18796392789395355,0.21234547408497706
5500,-0.00012473087667140667,-0.0010492327570101002,-0.0035411605549091818,-0.0076722456910633995,-0.0163942618282837,-0.02817304194749784,-0.0449858544568104,-0.067089691204491,-0.0951304366355874,-0.1283823714265009,-0.1652585310322537,-0.20403205320693313,-0.2408601229779896,-0.2735393515557017,-0.303250125791706,-0.3285104044167254,-0.34859883991031576,-0.36264107164163495,-0.37353123329876936,-0.3796736167304331,-0.38252840419013145,-0.38191197994538817,-0.37900910265099297,-0.37329952773159647,-0.36471330633673005,-0.3550647367753912,-0.34184877584021733,-0.32731690215562614,-0.311093140650357,-0.29386386441961876,-0.2756421888728764,-0.2565548963016,-0.23559210017716747,-0.21369373817773551,-0.19246426206089629,-0.16904014076064433,-0.14479849227055563,-0.12111643458420573,-0.09653378544808877,-0.07152269960285906,-0.04648538293870397,-0.021365002014618995,0.003834071366241254,0.02934791457420438,0.053930563710322676,0.07939631708358874,0.10432871047204273,0.12886764157661812,0.15452138248551606
6000,-2.455749694408506e-05,-0.0009020065450153083,-0.0032460638420002,-0.0069499968030177,-0.0150280733425933,-0.025968510736001402,-0.0412370332520762,-0.061534950980138996,-0.08741529701919709,-0.1186296072233197,-0.15377926890008942,-0.1913895271188198,-0.2271483267017426,-0.261925292159616,-0.292875108272909,-0.3188275890640115,-0.34150595360954095,-0.358385485587942,-0.37224738043914996,-0.3801581582466911,-0.3854400250908345,-0.3880569135955584,-0.3854680774944075,-0.38371279852799245,-0.3770964387710267,-0.3691656235323624,-0.35972398598698874,-0.3476895048542399,-0.3337394453060889,-0.3195689740155796,-0.30321442273261323,-0.28643908539605434,-0.2668464852435366,-0.2473260198430638,-0.22711626681194508,-0.20599681440782014,-0.18354286909087358,-0.16155779966221528,-0.1393362885463012,-0.11515511666651257,-0.09182353186635828,-0.06890071066112213,-0.04428272278284151,-0.02034600756275884,0.00438418992981271,0.029390903971887816,0.053463873723611055,0.07756890336512967,0.10087644324793565
