N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,-0.002132823836883979,-0.01348141289514017,-0.04132115099172641,-0.09947598548476,-0.22312929863692071,-0.39044445944978623,-0.6041429487221813,-0.8312366283500211,-1.0581448147443089,-1.2881623043395272,-1.4653738788564927,-1.6549144892175556,-1.8059286687444744,-1.9171949401996597,-2.0168879631680343,-2.0938340030453655,-2.1363688498500575,-2.1853828530557946,-2.194767335529788,-2.1989771928902466,-2.1825583323608693,-2.1925369642043173,-2.1479112360264634,-2.1234283064264377,-2.0741500804893467,-2.021208738311828,-1.9968113980797422,-1.9398421990069736,-1.870621716409675,-1.8457621449145587,-1.760784837041122,-1.6812765188925647,-1.6410438165253993,-1.5710730017819197,-1.488102435110864,-1.4164726784720094,-1.3484379862384157,-1.2913552740318532,-1.215679307254983,-1.143580803426111,-1.083665314587977,-1.004625207650286,-0.9545033965466454,-0.8707254437662456,-0.7984316133037145,-0.7317845928335447,-0.6601669038258329,-0.6025897164879582,-0.528368117478515
1000,-0.0006485926719657827,-0.006234156721687641,-0.02084524207251121,-0.04824752999836776,-0.0934100012172336,-0.1760661497313661,-0.2994497918343177,-0.4485071860018219,-0.6368663232763596,-0.821099232730372,-1.0164721071673735,-1.2087780979547047,-1.4016250507682817,-1.572343769173869,-1.725618759659159,-1.8867791638615854,-2.01414260402117,-2.1328069006836174,-2.2259418549503134,-2.3247982098028883,-2.3939760972272563,-2.450742155316033,-2.5202121263964803,-2.55682863942736,-2.591630186516797,-2.6139642263772163,-2.638345773572953,-2.634116134198646,-2.6441699661371003,-2.641917528189984,-2.6127310884372297,-2.605803251420757,-2.590425452411297,-2.578905113957097,-2.5470642466979294,-2.5209418750871273,-2.492395346824041,-2.4574434204549855,-2.407796527869252,-2.3866648146396567,-2.3329290775252263,-2.303836411030625,-2.261113292277065,-2.2104809197241972,-2.17338180294543,-2.1197567542741256,-2.0785661309968235,-2.0491830687989077,-2.0007726579437946
1500,-0.00026764033323637787,-0.00440009276108612,-0.01322776226864392,-0.03226341740495509,-0.06258373144258131,-0.11273861583739135,-0.18235036803982427,-0.29904385475941014,-0.42750745030323906,-0.5740244123348007,-0.7498995708691185,-0.9243388357412654,-1.0973320193163054,-1.2747793611824234,-1.439078053106133,-1.6066222479911965,-1.755081937645241,-1.8945519677942035,-2.0345733222528737,-2.1558821119512923,-2.265304563383416,-2.3591331236732405,-2.4482136797082523,-2.5384020147447814,-2.594225606418297,-2.664598624899988,-2.7152497569492713,-2.764161383412085,-2.810093328175513,-2.8262742793353057,-2.860524486865668,-2.879080906290918,-2.8962094112779044,-2.9102873899123947,-2.9157489532276677,-2.9228308324742205,-2.892115848606564,-2.8959751567968226,-2.8947280663218846,-2.864867000395327,-2.865286256290379,-2.830724144599377,-2.8227593325264295,-2.808578868340016,-2.774255999583841,-2.750135377661124,-2.7231412258133525,-2.6891832992152875,-2.668921447896493
2000,-0.0003141915857762282,-0.0028812857635260275,-0.010078625015037283,-0.023722673414343406,-0.0461706857740315,-0.08034498383481527,-0.1374213611332485,-0.21660344200129514,-0.308615446276941,-0.4363892769416578,-0.5784744343922212,-0.733406202175608,-0.8986229988986558,-1.0571593982636194,-1.2153075522868875,-1.3815096162415907,-1.530840519388179,-1.679467333513385,-1.8228711475348442,-1.961190198995026,-2.080865263730738,-2.1922569954414644,-2.29804273662494,-2.410881379161333,-2.499761203701823,-2.5867018879013677,-2.6638873235160476,-2.7278293693554003,-2.78788082058978,-2.846974931680806,-2.89736127579422,-2.938586894593912,-2.968126665498039,-3.013432701306779,-3.0325161012239006,-3.055576459032973,-3.071102853744146,-3.08427742368363,-3.1032208402946275,-3.096343826399587,-3.0992272174861784,-3.1073921627678494,-3.1032989297006535,-3.0890575794733706,-3.079431962976574,-3.079494237310411,-3.060391135757389,-3.053859661645289,-3.039117274365132
2500,-0.00031243196767641497,-0.0023227276141712643,-0.007525554924889362,-0.018927381745616825,-0.03632484175022987,-0.06526953040151975,-0.1037824266925221,-0.1613168305030219,-0.24625946172064744,-0.33875506336910644,-0.46010016954626864,-0.5986187827477939,-0.7442572679331895,-0.8922036800779872,-1.0502379844013041,-1.1985052343877598,-1.3487749678774417,-1.5062676515719091,-1.643437202282164,-1.7752132089020976,-1.9094771242703914,-2.032170623923282,-2.147502081638144,-2.2614380453305207,-2.3657629998365635,-2.463119613665144,-2.5566579061720858,-2.634156542020248,-2.705459466670203,-2.7771678187487114,-2.8449283930873626,-2.906966775177793,-2.951014061149034,-3.009451760322919,-3.055114836832212,-3.0914045930200675,-3.116693371507879,-3.1550664035362592,-3.187693625335734,-3.196532000739578,-3.216128275514895,-3.226687201025201,-3.2452474763224237,-3.2509870358998043,-3.255830169953245,-3.2608448296881374,-3.2529217732069884,-3.2526994888655043,-3.242508711557473
3000,-0.00019101098159956346,-0.0019077379780929457,-0.006498363250998877,-0.01568589604554044,-0.029906470796503312,-0.05372878310942554,-0.08524246801146429,-0.13420364882159452,-0.20007850724005166,-0.2861854816492585,-0.38375793439811345,-0.5010669862765234,-0.6315318224573427,-0.7702702774155235,-0.9128868468486512,-1.061046994594381,-1.2024365253006577,-1.3471452958976244,-1.4838225004117844,-1.624682643398109,-1.7629843449107028,-1.8830523382305595,-2.0100978446194047,-2.1207724224038897,-2.2270952956186543,-2.3417410946774924,-2.437660099837576,-2.525596989450469,-2.6131807243913565,-2.693763894073399,-2.7695546253300765,-2.8470905749301108,-2.9081989115244484,-2.9649805989197207,-3.016767029970107,-3.0652911807302203,-3.1125897542032592,-3.1573269913985276,-3.1927403848456524,-3.226447583609195,-3.2533254173612085,-3.283529920530849,-3.308292088802085,-3.324895669962678,-3.3419520099319002,-3.3538913194131568,-3.357233832190896,-3.3709009808277846,-3.374630127317433
3500,-0.000166726320130454,-0.0016531657937516838,-0.005652950016881893,-0.013631941202951036,-0.02621801168513492,-0.045494144947107205,-0.0732807253782512,-0.11187611207819818,-0.16305492925965706,-0.23539398422844043,-0.31901926689371873,-0.42400724570485465,-0.5421675784004664,-0.6726337742248418,-0.8029667483091238,-0.9391719395593079,-1.0780572037925826,-1.2182193114008262,-1.3575081951162578,-1.4976712624333501,-1.6269764151628903,-1.7515741001978375,-1.8765141728799706,-1.9964629543965624,-2.1136063068719495,-2.2192149122671787,-2.3164198252977752,-2.422550594804415,-2.5140998725559114,-2.6043655447858365,-2.6908251986945237,-2.7625166459571275,-2.8349370572829473,-2.8993823214569066,-2.9661069797643265,-3.0274500842822647,-3.0833647423464456,-3.124925751577854,-3.1822161973633247,-3.2183058747172644,-3.2553540499250406,-3.2891403080928634,-3.3167705942306607,-3.35198147019657,-3.3815017909502307,-3.3968166602351357,-3.4171502521747454,-3.434886904192693,-3.442725210193395
4000,-0.00010036222512684508,-0.001639328259192337,-0.0048544592591170796,-0.011144793446486289,-0.02214008897751283,-0.04008070861695276,-0.06220545933372869,-0.09646067475762375,-0.14286563514990308,-0.20150645333212625,-0.2798437915305697,-0.36801865784918203,-0.47379809775140413,-0.5925013379227511,-0.7144779857963286,-0.8478686658563511,-0.9801738187173944,-1.1176101036146298,-1.2488797659947883,-1.3813612869980014,-1.5111634863151109,-1.6401324479524106,-1.7614649096990476,-1.881537248061657,-2.0005433703350652,-2.1140115667791344,-2.215939388183576,-2.318055400141756,-2.409741638016074,-2.5097210416469027,-2.5954570905058447,-2.67895474400008,-2.755475922596996,-2.829249192754679,-2.8984856102081995,-2.963549565564246,-3.024397114641203,-3.0829908312914056,-3.1372559691261332,-3.1885158029672422,-3.242117496036235,-3.2715107234730545,-3.3130714522662332,-3.352158057586791,-3.38375594158214,-3.4083474542702734,-3.439298332155421,-3.4719301548752717,-3.481762131667418
4500,-0.00014697836013625545,-0.0012736565419271854,-0.004375413997369219,-0.01072532746115827,-0.020788461892837014,-0.03540109241542814,-0.055997139624081586,-0.08551435650522009,-0.12515591055879036,-0.17429713624650855,-0.2390810431676142,-0.32378034251988175,-0.42005333798399996,-0.5295587913609273,-0.6451832499743606,-0.7645549045602861,-0.8879263932602901,-1.025653201763585,-1.1509144655901042,-1.2813343155702404,-1.4072797126800698,-1.5360526081997046,-1.6589298244386335,-1.7795971883093127,-1.8975793815319415,-2.004339844394982,-2.1152154590881085,-2.215620598843387,-2.3217134551593954,-2.416104533928485,-2.500204657908775,-2.593652498257123,-2.6756916572863956,-2.7587623715605365,-2.8297357550680147,-2.9016130805588443,-2.9659983688296254,-3.0262792876056497,-3.086287081636961,-3.1465305254686684,-3.187606750904472,-3.247676235505959,-3.286857496459791,-3.3279586703458603,-3.3658488026696327,-3.4032164796170026,-3.4363792600163388,-3.467386365409456,-3.500523532513857
5000,-0.00013074001567242217,-0.0013076515465348345,-0.003931556282028111,-0.009202094388459514,-0.017441986334902668,-0.030863996270026593,-0.05018355721031626,-0.07705659879926981,-0.112631373633239,-0.1547361811595085,-0.21462529246395118,-0.2878853510139739,-0.37755033145172034,-0.4725099936980119,-0.5818667490810286,-0.699732968786433,-0.8192437271875277,-0.9445957316838313,-1.0647354760675154,-1.197008103240999,-1.3184849975298971,-1.441813735463426,-1.5668524480205541,-1.686404332282347,-1.8027698946784052,-1.915024131090476,-2.0235053107728875,-2.127137881540073,-2.2337598959937366,-2.3319968859606552,-2.4242938357540535,-2.509317893792209,-2.5972295852555516,-2.6798726964980157,-2.7572006090550594,-2.829045713270811,-2.902990408853691,-2.9727992356660655,-3.031438706316831,-3.0962003185793856,-3.150442203462103,-3.204593088928198,-3.255434353626964,-3.3029381898868446,-3.3431092031185994,-3.3865948735218145,-3.4312168430915695,-3.4611091969604657,-3.490992235867154
