N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,-0.0006901287959950157,-0.0019398525680284608,-0.0024164747224206945,-0.009740353941466466,-0.07299283471507591,-0.18875569273350912,-0.38009240887212525,-0.6154094502330322,-0.8730951308329512,-1.1532703180164092,-1.3917483419364594,-1.6520290991357776,-1.8784962293011893,-2.063868936023371,-2.234879183846357,-2.3860759284947735,-2.494590028502787,-2.608861937391402,-2.674271077286583,-2.7332071665314297,-2.761608031939003,-2.8258319973198756,-2.8195819572296683,-2.834773141254089,-2.8169456672083775,-2.795455076922238,-2.806259495687843,-2.776028244706217,-2.7271978520201485,-2.735424086796086,-2.662517327431421,-2.5978206783693234,-2.5811519950033444,-2.525704310338147,-2.451149464738944,-2.390147561567971,-2.3345681365207183,-2.2911429373679053,-2.2227766254648724,-2.158228225683319,-2.109469578494726,-2.0328339632918504,-1.9952155092092474,-1.9131687904779144,-1.8441450687747316,-1.7810086062373915,-1.7119396784685839,-1.661431696831065,-1.5889413318706884
1000,7.275484847869909e-05,-0.0004633765581317868,-0.0013688590205102014,-0.002105333607269074,-0.004419762111732694,-0.0323977685761735,-0.10305090693463348,-0.20702408107435752,-0.37364661306616825,-0.5487424539278839,-0.7504872314621449,-0.9622936502188252,-1.1861585464115152,-1.395781941086408,-1.5932995794922928,-1.8045455465309144,-1.98451926584825,-2.1571163121225965,-2.3051698576124653,-2.459113118109651,-2.5831855518398443,-2.6899409930954223,-2.8134879832918585,-2.8984107352751707,-2.981542566234388,-3.047830715007224,-3.1172003025613484,-3.149975790985843,-3.200641488325322,-3.2359712561933622,-3.2341479323828026,-3.2617485966782724,-3.2766193036927844,-3.2957802797748226,-3.2898117435822645,-3.2901387810544263,-3.28537267604866,-3.271868815954154,-3.238620556999858,-3.2429524112419528,-3.2023451989996117,-3.193979251259116,-3.1673181372941195,-3.129501705687815,-3.1090416717139675,-3.066068521427893,-3.0390884443033475,-3.026993677678751,-2.989571794051742
1500,0.00021325801372660988,-0.0005529059853822179,-0.00024350690064325043,-0.0014859231993238774,-0.0025355578518029137,-0.010772136336339184,-0.02934454398110032,-0.09687418969617013,-0.18285843125826837,-0.2964017966330679,-0.4556699322522638,-0.6246590158588302,-0.7991429843094555,-0.993277498815189,-1.178463208941991,-1.3752780832122018,-1.5546435066310675,-1.7301969427471529,-1.9125854415732626,-2.0783773283657574,-2.2304234032837007,-2.3699693664248063,-2.5050077744845813,-2.6423722373581797,-2.7416369797073514,-2.858144179607692,-2.9527814804591896,-3.0430824246506174,-3.13274405909788,-3.1851847456186824,-3.2603273425857973,-3.315768665223109,-3.3680989292077856,-3.418228253919601,-3.455204688905849,-3.496318141172482,-3.486955043909982,-3.5221368644324302,-3.5496955849405754,-3.541474944627352,-3.570315292827916,-3.5544761567786733,-3.57270427467031,-3.5815748712483226,-3.5644681633134225,-3.560352912624366,-3.551745107575479,-3.53368888631699,-3.532262220254246
2000,4.648217444601267e-05,4.1043182518994576e-06,-0.0003404334890367791,-0.0006395527601199884,-0.0010864657462513892,-0.0026558558829445733,-0.017425201107308948,-0.04903441300204201,-0.0924997291517742,-0.18058742373337047,-0.2922918281145472,-0.42721822466427367,-0.5831536832909358,-0.7381314348883733,-0.9021585712032638,-1.08105635151779,-1.249611166084224,-1.419878405822764,-1.5930257826038843,-1.7615572727120155,-1.91446241322287,-2.0610438814726133,-2.2043757610952235,-2.358415369507671,-2.4870294199659777,-2.6142453407236723,-2.7334372469455697,-2.8359954300460504,-2.93496358000841,-3.0343689950336086,-3.1233354090321286,-3.202227390857696,-3.267125212722277,-3.350602554821204,-3.4024591770838537,-3.4588938801721567,-3.5073016993569244,-3.5507247753203806,-3.6016960218391127,-3.620643249175984,-3.6515870588078654,-3.6888824214568197,-3.709134667204625,-3.7187819423627295,-3.7319268625946305,-3.757200232768001,-3.757537446890958,-3.7744617896519777,-3.7801215147417255
2500,-2.3892959498622296e-05,-1.441554874892275e-05,0.0002649982959110403,-0.0004608852222380946,-0.0002574657280057855,-0.0030028124367520864,-0.00569839984595112,-0.019596087653029406,-0.05912267898347038,-0.10725059914112414,-0.19030657893309325,-0.3016255816303918,-0.4277395939290901,-0.5623074140613776,-0.716985047922893,-0.8669450600906583,-1.0243513250492708,-1.1971461941441004,-1.3503777496429192,-1.5034286991324952,-1.6638150127078186,-1.8126309105677392,-1.95876871638905,-2.1041361960389273,-2.2425664613115854,-2.375798091823605,-2.5042111324523026,-2.6170077069675477,-2.723522008582133,-2.83266348798824,-2.9363856407127833,-3.035453195519364,-3.1129902423731077,-3.209111136015012,-3.289485455208094,-3.3583512654192225,-3.4148888184926887,-3.488232778312217,-3.553512997870479,-3.5894067142744603,-3.6395015622141704,-3.6779237379475114,-3.725549509335177,-3.757353759317952,-3.788934841462535,-3.8184176090909037,-3.8336161451317357,-3.85550556678361,-3.866820563551763
3000,4.943819188193042e-05,1.585540975900538e-05,-6.235566998541847e-06,-0.000297148942724833,0.00014967588868342133,-0.0018077915823216278,-0.0030248806256921532,-0.013947002191050054,-0.03635666501650248,-0.07922286306128729,-0.1362956600234093,-0.2193086447909088,-0.3228592034866997,-0.44330749131538816,-0.5727634759866286,-0.7169001075627681,-0.8576484404730942,-1.0075589281897104,-1.1535014408553577,-1.309654151275105,-1.4664784541182232,-1.6057102465645552,-1.7575300327944434,-1.8924418872658633,-2.0260156668085303,-2.171118361175024,-2.296468345169243,-2.4162968101582307,-2.5356118210262264,-2.6496735306293426,-2.758614187936669,-2.8708389382976325,-2.9649128565762832,-3.054299451895646,-3.139732737288543,-3.220340822763537,-3.30033246885761,-3.3779310930953486,-3.443472767979705,-3.5083101197366515,-3.5651479205044585,-3.6249998067643685,-3.6791929538697388,-3.722943246716392,-3.7677955111400747,-3.804613295104217,-3.8320007252301056,-3.8708990071376523,-3.899298238826502
3500,3.937297142511221e-05,-4.3714613071541125e-06,-8.826914488160546e-05,-0.00044158654339479937,-0.00045560024068914176,-0.000976697971104901,-0.002664238114929026,-0.0073631613303705625,-0.018490016186197736,-0.04833826721260855,-0.09020783340872911,-0.15807732981070763,-0.2451716292925103,-0.3527470638014475,-0.46429752244863226,-0.589235952427112,-0.7222473868510533,-0.8631239720033559,-1.0059715034863137,-1.1565906748616583,-1.2957130238456287,-1.4358437254874805,-1.5780136989436586,-1.7191082677738518,-1.859465270454781,-1.9884386655360262,-2.1114334699166086,-2.244357147325472,-2.3646572762489706,-2.4840722582812376,-2.600801028143052,-2.7026035819019247,-2.805870187197227,-2.9015875838765512,-2.999893523626669,-3.0925293705791272,-3.1797505110305986,-3.250557009733742,-3.340218784246207,-3.4053135018983998,-3.4721086748540295,-3.535009892942269,-3.590099474691653,-3.6547756793736226,-3.7127308323855663,-3.7531348554291686,-3.799643057396336,-3.8430665511184916,-3.8751627437352836
4000,7.997465498427537e-05,-0.00019663321830337355,1.4636503883172387e-05,0.0003967668806254189,0.00040202103637722796,-0.0011279425129507423,-0.0003739543729625252,-0.004524933276974548,-0.014435720364100143,-0.03253079666800639,-0.07011801119067368,-0.11898544887439874,-0.19131239751600806,-0.2825383083877571,-0.3825859916398226,-0.5001190487087405,-0.6216160112217906,-0.7559384793224404,-0.8852124135627029,-1.0218416828084718,-1.159013649292789,-1.2986465317739933,-1.4319954409653675,-1.5685806263168185,-1.7059871215908984,-1.8398995090102312,-1.961934892547063,-2.088101833082729,-2.203845010763871,-2.329606577021252,-2.4425674835476365,-2.553296005938651,-2.658484737243898,-2.7607151670831156,-2.8594486868934794,-2.9531441275818344,-3.0434887790156337,-3.130804149438201,-3.214470209960378,-3.295094899112914,-3.3783920651068717,-3.435004138981796,-3.5040482083039093,-3.5723493882024693,-3.6312202196999563,-3.6819305238575177,-3.739589293687121,-3.799518108826459,-3.8325774757769175
4500,1.3321088851407131e-05,8.739049974115338e-06,-4.732887470232863e-05,-0.00046616272594786427,-0.000751030769379189,-0.0007764114340930184,-0.001019771936279573,-0.00365477122218706,-0.010060906185648606,-0.02092796677007925,-0.04496909707348731,-0.09137820137756854,-0.15236394480453588,-0.23171172851191776,-0.32235084634314065,-0.4213911874824641,-0.529673154717763,-0.6603788473553983,-0.7805853352238399,-0.9102624644236664,-1.0395634633323045,-1.1753681613475313,-1.3076228953522384,-1.4406119435351026,-1.5718829610788088,-1.6957740917236637,-1.82450172171905,-1.9445275140304183,-2.072885963810813,-2.1897563686429393,-2.296795343773364,-2.415121658604597,-2.5232789411889263,-2.632889900900458,-2.730152394041913,-2.828527218450403,-2.9204252354824334,-3.0085074220278845,-3.09604931808031,-3.1847138542175295,-3.2524692512798468,-3.340970514816779,-3.407199636129796,-3.475546373028801,-3.5396988984117193,-3.603157982339314,-3.663860208074731,-3.720590031715402,-3.779118631539448
5000,1.3529488416474154e-05,-0.00015349551382366373,-3.627967162790965e-05,3.115387322985171e-05,0.0005917016762093742,0.0002982166131750198,-0.0006991173078248101,-0.0032964103420867435,-0.008444746763707692,-0.014395616565299758,-0.035803242145764164,-0.07071165752548865,-0.12393897021384945,-0.18616388198237044,-0.2686624646875043,-0.36408996752361555,-0.46660577834303835,-0.5793822910662598,-0.6911111233615613,-0.8212726067918773,-0.9414077946927488,-1.0676603945758127,-1.1994942007755278,-1.3285342094229005,-1.4558161642950183,-1.5807180272322159,-1.7040733927861926,-1.8243306194078888,-1.9503809270788568,-2.068512681659634,-2.1810987327114004,-2.287695890594316,-2.3985849050755506,-2.5060712249221226,-2.6075017626289507,-2.7038438286389974,-2.8037810798752267,-2.9002172481589414,-2.9836710735129968,-3.075810228668155,-3.1559244446174812,-3.2365728290012368,-3.313829839898679,-3.387850411010099,-3.4535763623994673,-3.5229007009850037,-3.594433742050808,-3.6490731248544193,-3.703337709952131
5500,3.2116089773933335e-06,-0.00014365234395794063,-1.979435562691811e-05,0.0003608081825089415,-0.00043962214219533897,7.812124588816235e-05,-0.0016739265316394797,-0.0031406662337111215,-0.006058460901131663,-0.014068031286561105,-0.030043638965113938,-0.05478923150640778,-0.09583633538991924,-0.15605854390174845,-0.22678334101351927,-0.3075296889163831,-0.40092899267315296,-0.5065043639014648,-0.6169379754688552,-0.7356250635839101,-0.8549817968616397,-0.9789935003214264,-1.1015756413562647,-1.2262919216963193,-1.3470144439164828,-1.4686221755772608,-1.5940629022404995,-1.7163330116713944,-1.8351758869233843,-1.9529140859574488,-2.0656632046429855,-2.171027882637328,-2.2848949053802112,-2.390426767646241,-2.4940320995125473,-2.595929019792698,-2.6914739114601463,-2.787255827455749,-2.8791552094619894,-2.9666316044430006,-3.053943248810106,-3.138192912287941,-3.2161619298138038,-3.29225770797313,-3.3585574619633833,-3.435296143090525,-3.502905188252699,-3.5683172438788664,-3.6362682948715928
6000,4.783354489833094e-05,2.9895074455291695e-05,-0.00011111734010174181,0.00037218837419503403,-0.0004651577943393025,-0.00019939577413429014,-0.0007669592805504925,-0.00182080740429988,-0.004529276286275845,-0.011024545063235842,-0.022534365401486862,-0.042498423323994554,-0.08250463342760672,-0.1298375762626502,-0.18913236642420148,-0.26823172360325287,-0.352828870713348,-0.4523813399897881,-0.5536286760991996,-0.6663972906544118,-0.7833569834169978,-0.8959361182685316,-1.0217675716659782,-1.1380978102761188,-1.2605822720630253,-1.3772596429464357,-1.4978372746254929,-1.6129065601399712,-1.7336069689231768,-1.8465800241624521,-1.960009143479368,-2.066514030644703,-2.1800355626899153,-2.284828449635559,-2.390286926187123,-2.489362118470884,-2.5882790220599503,-2.6841916207176073,-2.774334134551325,-2.8729133454911864,-2.9549797484799147,-3.0363056498828285,-3.1198655474497516,-3.1983768386874027,-3.2809389498752153,-3.35275012813218,-3.4244420089651553,-3.494109739767923,-3.5552652334908155
