N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,0.0032648189520508427,0.00807589024063941,0.009856540400761954,0.01829977951008364,0.02767878242669546,0.03689033105746145,0.03394228915428767,0.03433623282554968,0.02963748760874816,0.03113880270521086,0.04929530775278524,0.05041869997722033,0.043580399657872415,0.057161948808613076,0.04506046628645977,0.05997365113195169,0.05953182785475403,0.05825453280906718,0.06647259702264172,0.04993537059030756,0.04918633641550507,0.05125888310788387,0.06890227756501877,0.06846865106737951,0.054797740585130886,0.05781368108436121,0.061654159315728777,0.054084254162668634,0.04938478951271269,0.05088938820925391,0.05426279397880986,0.06792870453078637,0.05119674957376447,0.05085254118916217,0.0541089848143438,0.04461082102590208,0.035680293942030025,0.04489470872796806,0.0354700456922179,0.05409049857850591,0.04448215485025406,0.03651983349631198,0.04933026097858738,0.04320001585458273,0.04094155615499939,0.05602921601070064,0.04095138434478281,0.0437231279320836,0.04049363258199572
1000,0.0007750946475211727,0.0026451088365577313,0.006033534603015673,0.008949203401800446,0.01057192919486702,0.014613393452390312,0.02044400797473704,0.024860350321428935,0.028111147225042977,0.030425604610547875,0.02779967670112685,0.016559742492298603,0.02390324144673716,0.02792741002442607,0.034460807336172294,0.030678549288290828,0.032714980388025845,0.031738424800203315,0.03333291377438434,0.035114893029604737,0.03872338174898049,0.04850878560796772,0.03253540392399864,0.045100694816734906,0.0521644301339491,0.04911901020733651,0.03926838696858829,0.04615970424478116,0.04331882401644352,0.03779411033629185,0.04196813602680422,0.042323760698020706,0.05057141733211638,0.041416938533014674,0.049613116175381125,0.04197573480362619,0.04807169558689794,0.05417752808819957,0.047749465108965265,0.031869672745013164,0.046660300177913144,0.03821771384891561,0.03598600649591664,0.03859053479523449,0.03466036351942619,0.032789988115999556,0.040463496494338815,0.043886008994265,0.04110746575256225
1500,0.0002947568541706686,0.0027882597459989752,0.002530199005102857,0.005543908702732923,0.007744332217229679,0.010429060245642425,0.013854474659402942,0.013223123182459664,0.015224654906948517,0.016517424163938647,0.024541677727739047,0.023728555387448398,0.020338305279971422,0.01838831691754329,0.019482421208290447,0.019539896139339086,0.02092328169132216,0.025850554395628608,0.02545980177996682,0.028663998376039584,0.024456779824629366,0.028542167080573937,0.028475748295487536,0.028537673707246726,0.027032806657043915,0.03359437786825894,0.02712589816767794,0.03178845520773562,0.032142264304370546,0.031211403124245002,0.029858473001001994,0.038798186854839545,0.03760674825223775,0.036837304783128584,0.03242325510567347,0.03997001532217989,0.03520180114290756,0.03743815149136483,0.03565547557613781,0.036784514398177925,0.03656424397513864,0.04013606017571395,0.04008380190210881,0.0321772513740217,0.03511587838395317,0.033404410709964034,0.02991362645655205,0.03602606920915702,0.035838096555335534
2000,0.0003544102158022205,0.0013094068986766398,0.0027978894513632255,0.004211620450640018,0.005591616815089908,0.006938849237621373,0.011091730455556222,0.013412422068263093,0.014828341984724975,0.019162653931333148,0.01861868393318952,0.01784138809215089,0.01377044914717166,0.021751498207552192,0.01861929190308944,0.01570313315482803,0.015449451662167508,0.01845196488855548,0.01468343861033145,0.0205152864716564,0.023568079479707828,0.020574442945308368,0.021875830919975758,0.0248068374013576,0.02034348055166525,0.027263969920341212,0.02657899017875582,0.021230724300225583,0.028782363701512045,0.023500152874917656,0.028695562332905752,0.028096967737736084,0.02892347562367183,0.033608806846421625,0.03204667783814894,0.02936642329074576,0.02535156272262537,0.029023653560427,0.030984286692445136,0.03220661528366549,0.027961898101088206,0.03438677546606275,0.030668118582912927,0.03355972262878578,0.02899990006955711,0.03207287942348841,0.024444695840378648,0.02211105712427163,0.03455170392927571
2500,0.00042097009573528196,0.0012901880973206854,0.002272621624801211,0.002849435528639526,0.004298960307648035,0.007284696902949495,0.009065462112667703,0.01101392365676269,0.013028831922210502,0.01620044845553773,0.013905653112882086,0.013281440868844424,0.01753256107015251,0.016470984416931442,0.011848764534976724,0.01427780238883999,0.01442242500201721,0.015084320569116258,0.01438882483933319,0.014073229855433005,0.01438292630204817,0.015125586112907057,0.01654868385406426,0.019743839838005837,0.018205437346591444,0.0219221958713179,0.022537488797674938,0.02105187883868573,0.02356834102143979,0.01896028086157526,0.024709116455304794,0.023610583762800053,0.025056469664436497,0.026255434631582975,0.022740038691179618,0.030601568913078706,0.024622265744841842,0.025969549037197805,0.02518222155337032,0.025086137592895363,0.03101417596415771,0.02489875035813965,0.030191921610134745,0.02445954179921058,0.022767353600002538,0.027262652800373908,0.029376273172634342,0.025145061362274186,0.02454982022986134
3000,0.0003287214834948764,0.0011181063346404764,0.001879282032377562,0.003264699005365748,0.003034093996566842,0.004587023855109886,0.005084971230771515,0.011069728151621392,0.010709390319948156,0.014116324685683601,0.013110025802827217,0.015940359625844995,0.013510992298797694,0.015402704962149912,0.012837881621053348,0.012334726645152899,0.014439039717566843,0.0126134642280423,0.015194235264042193,0.010941096984149443,0.019135853170331184,0.011631786004236954,0.014624575413726014,0.013667272107220838,0.014023736052517331,0.013104532971841578,0.017318416337972986,0.015355100058379761,0.016166433129741076,0.019085760823942154,0.022933532756852087,0.01767513801512709,0.021007089259821844,0.024843756346433276,0.025294946615562672,0.02367703640509401,0.020401655014437532,0.02366237436858403,0.021062061467564272,0.016656977657306792,0.02544124655085184,0.017928239321009922,0.02674464070918943,0.021669946092572594,0.022304828791892835,0.02105937920029474,0.027785088423320566,0.017620499211377247,0.027171062887653044
3500,0.0002530446767737735,0.0007981899393424271,0.001418952196280515,0.0026808846322782477,0.0031202501470471316,0.0052557335126244605,0.00674091200176577,0.005498529476399729,0.006473891847955207,0.0120041062118658,0.010111133160212763,0.011334783320994945,0.01178434899084697,0.011978393037138012,0.0137324448306282,0.01128795641117492,0.009759466598584841,0.014249499170477332,0.013170572318207797,0.01379179814575758,0.012190343541936282,0.01009964312032564,0.01206489145131461,0.013946660800826205,0.012060231827711137,0.018028619770099102,0.014187496610030015,0.014499069784808152,0.015838475631170735,0.018040424259546575,0.0180187133765784,0.0193632384131307,0.021110299800357692,0.015632288101767203,0.019485911027192476,0.011916155537823334,0.01591492658995752,0.015232943383575106,0.017110690742101448,0.021179491033125514,0.02005941559303491,0.022560522042575085,0.026201139556980432,0.027646541689871428,0.026512869488263757,0.018540812078004433,0.02041652978278081,0.022602559173247636,0.02675236590216004
4000,0.00013112916890689982,0.0006080774687322536,0.0010301100752080194,0.001987126879660678,0.002623293311232568,0.00391285106764599,0.004450040994650304,0.005428911292342825,0.007734962356780219,0.008396170356449786,0.011934599273348216,0.013852792528356436,0.012224098332092844,0.012733594522921669,0.012417739076604758,0.008102699524253834,0.010657183831877005,0.013704082748271843,0.012961104308061664,0.013236420739626031,0.00880847118925011,0.009614839968542094,0.011456982782312615,0.011077495372893044,0.010157211462421467,0.010042855610081622,0.012382144366916573,0.011410944853311377,0.013673960619568193,0.014347206227458806,0.01208282990151467,0.016005526259132978,0.016842856761930154,0.014285731856393645,0.01462432567081778,0.018336418740895637,0.019082517309088876,0.020970546159182483,0.014310893202724388,0.0174763392213706,0.020420586746873432,0.01788777216335395,0.02319921759764953,0.022975068116601747,0.02062063841124654,0.0235785404233519,0.024260225147093972,0.01736673141516517,0.020363048007252305
4500,0.00023049790794370302,0.000497948047258698,0.0015590510764589489,0.0019598125029012883,0.0025090200504689114,0.0038168150653506102,0.00431237910059423,0.005803550781003021,0.0057073895717052806,0.008337908158074538,0.008646148218478894,0.009877545800055764,0.009224570333989844,0.008965313879824573,0.01234039433354336,0.012975429783057704,0.013572860188378761,0.011901026720162874,0.008586348034284949,0.010129577225698095,0.011028874712533436,0.010284570616137759,0.011320515301957912,0.01231231553912393,0.011373533274209017,0.011798258221209909,0.012402455759501444,0.010833733547605535,0.009575868064120389,0.011226685555939711,0.012705551047601439,0.010087153526700197,0.014071303398387228,0.014236435347192261,0.015979947010462018,0.014729017892115927,0.01402046079214717,0.01793671297648218,0.018417487504602186,0.019476864694923757,0.015329931603743876,0.018959284503355024,0.015206764525469055,0.020416006038299565,0.017470005147236754,0.016423432941493434,0.016083148879152357,0.012462803225797413,0.01722164255328121
5000,0.0002866972622695891,0.0006352103054317061,0.0009754685192109693,0.0015918476502861775,0.0022810472921759705,0.0022686029867097237,0.003982077379677868,0.004448548440973631,0.005376891827407593,0.005924407077649673,0.009023539633905382,0.006327222428122591,0.00653364289046761,0.009225205666539364,0.009580477878607645,0.010640587920382956,0.011707237012749415,0.01289030572300288,0.012219549452297085,0.012386816530954204,0.009650665142234283,0.008544395184664886,0.00848956476368513,0.008425778209557852,0.010001706389740992,0.010167423983155508,0.009373349916024915,0.01309564053586799,0.011638359464907447,0.014414862322523687,0.011643725718561884,0.011729326200202787,0.01044933646360045,0.010804649859659647,0.011910629897379663,0.012525318851145169,0.013154369421981513,0.015683351223259062,0.014205251075846833,0.016801620277648546,0.01399936597561061,0.01591668866388961,0.018522942058842907,0.017223684972276533,0.018544027782836255,0.015007926829530394,0.01923781238499391,0.014074174750966522,0.020517091292080396
