N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
5,0.08617069299823386,0.16247019651020556,0.2766647020414139,0.577078016355586,0.05100920468799819,-0.393775637984898,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.5770780163555855,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.5770780163555864,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586,-0.577078016355586
7,0.0735059178462861,0.14948770503890013,0.2095730671628431,0.2401950945944736,0.38860450013323966,0.6182978746666983,0.23300771878190665,-0.10684228410271768,-0.41084847099281774,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.618297874666698,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.618297874666698,-0.6182978746666987,-0.6182978746666983,-0.6182978746666987,-0.6182978746666987,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666987,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983,-0.6182978746666978,-0.6182978746666983,-0.6182978746666983,-0.6182978746666983
9,0.06230184417027592,0.16029944898766235,0.19032417588534786,0.23881493330744788,0.2373402905781355,0.3171496168435165,0.4564536298970001,0.6411977959506503,0.3371916090605511,0.06218456156068086,-0.18887720260703666,-0.4198316374469089,-0.6336620452799329,-0.6411977959506503,-0.6411977959506503,-0.6411977959506502,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506505,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.641197795950651,-0.6411977959506503,-0.6411977959506503,-0.6411977959506496,-0.6411977959506507,-0.6411977959506499,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506503,-0.6411977959506507,-0.6411977959506507
11,0.0536374702670477,0.10647642097428482,0.15838301439756095,0.2182447818135965,0.2586416542161386,0.2430702224927406,0.28699347755744675,0.37635688562232167,0.5015641096817208,0.6557704731313465,0.40470870896362987,0.17375427412375768,-0.040076133709266326,-0.23914748081109627,-0.425366289594058,-0.6002919720947362,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313464,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313463,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313467,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313463,-0.655770473131347,-0.6557704731313465,-0.6557704731313474,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465,-0.6557704731313465
13,0.04694317497327311,0.09429398037951406,0.14201155538623295,0.16902825179954614,0.23841309621644688,0.27294537083366077,0.25083579344459805,0.2741663690557035,0.3333407606613328,0.4215142916571924,0.21887660462223835,0.6658592496410605,0.45202884180803826,0.25295749470620843,0.06673868592324667,-0.10818699657743158,-0.2731113169613777,-0.4291163409639238,-0.5771175038514786,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410604,-0.6658592496410606,-0.6658592496410605,-0.6658592496410607,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410602,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410605,-0.6658592496410602,-0.6658592496410605,-0.6658592496410607,-0.6658592496410607
15,0.04167309865957215,0.09617966939259781,0.12406569501747174,0.19235933878519562,0.18235036239083297,0.16974896586188495,0.2837433674244619,0.2586498659028029,0.2694001803756687,0.30914963423876346,0.37284437143401183,0.45664643795710547,-0.2083349551628353,0.6732576857481827,0.487038876965221,0.31211319446454283,0.14718887408059667,-0.008816149921949401,-0.15681731280950428,-0.29759596859230036,-0.43182436030937366,-0.5600850351488051,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481828,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481829,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827,-0.6732576857481827
17,0.037437299823200015,0.07466621486469581,0.11285283617478542,0.1402497908904903,0.18487495050470412,0.1954370213081807,0.2654937788997641,0.2921803951193418,0.26590053296127003,0.26861981019342807,0.29528437075773706,0.3420562606498936,0.4059521775488975,0.48460715517909814,0.5761146711281628,0.6789153133595125,0.5139909929755683,0.35798596897302204,0.20998480608546724,0.06920615030267108,-0.06502224141440216,-0.1932829162538336,-0.3160840055821197,-0.43387138368925626,-0.547038440421991,-0.655934008466744,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595126,-0.6789153133595125,-0.6789153133595125,-0.6789153133595123,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595123,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125,-0.6789153133595125
19,0.033967426715361154,0.06806824201195213,0.10144448555625428,0.13492594645197278,0.13667893349873514,0.1853141354578685,0.20743963899930679,0.21143582167451497,0.2989529257440454,0.2724378530044094,0.2698680635969293,0.28740560351729183,0.32206717044450317,0.3714877981029092,0.4337609640801828,0.5073272563397406,-0.06346728948592378,0.6833818614737179,0.5353806985861631,0.3946020428033671,0.26037365108629373,0.1321129762468623,0.009311886918576262,-0.10847549118856031,-0.22164254792129512,-0.3305381159660481,-0.4354729557543191,-0.5367251018942554,-0.634544302856149,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737199,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197,-0.6833818614737197
21,0.031077227113553783,0.06869976385185539,0.09352292679841111,0.12487909068300153,0.1422056816981421,0.20609929155556594,0.18942330372307709,0.21818746889075644,0.28279545005295686,0.30450852278029844,0.27827283101469785,0.27214446857694435,0.2831401331460377,0.3088948584463269,0.34750212206548486,0.39740251196692367,0.4573042639850948,0.5261253123846662,0.6029502218992286,0.6869976385185508,0.5527692468014775,0.42450857196204606,0.30170748263376007,0.1839201045266235,0.07075304779388869,-0.03814252025086429,-0.1430773600391353,-0.2443295061790715,-0.34214870714096524,-0.43676013669767766,-0.5283675159239278,-0.6171557546408346,-0.6869976385185543,-0.6869976385185543,-0.6869976385185543,-0.6869976385185543,-0.6869976385185543,-0.6869976385185543,-0.6869976385185542,-0.6869976385185542,-0.6869976385185543,-0.6869976385185543,-0.6869976385185543,-0.6869976385185546,-0.6869976385185541,-0.6869976385185543,-0.6869976385185543,-0.6869976385185543,-0.6869976385185543
23,0.02863486398864319,0.057187003370952824,0.08565050283133838,0.10881325430265232,0.1422842410149943,0.161944941956739,0.19847206919327845,0.195182828443365,0.22773740368797624,0.28929111832281734,0.3091477247973362,0.2834692691072234,0.2749148404239597,0.28111947247189,0.30017664283868584,0.330526939487771,0.3708785982535838,0.42014955340079935,0.47742436966300256,0.5419216930299654,0.6129692804626529,0.6899845847729829,0.5671834954446968,0.44939611733756024,0.3362290606048256,0.2273334925600726,0.12239865277180151,0.021146506631865236,-0.07667269433002838,-0.1712841238867408,-0.262891503112991,-0.3516797418298978,-0.4378171856136692,-0.5214575370029237,-0.6027415059976153,-0.6817982343708913,-0.6899845847729829,-0.6899845847729829,-0.6899845847729829,-0.6899845847729829,-0.6899845847729829,-0.6899845847729829,-0.689984584772983,-0.6899845847729827,-0.6899845847729829,-0.6899845847729829,-0.6899845847729829,-0.6899845847729829,-0.6899845847729829
