N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,1.0,1.5849567260822408,2.0,2.3219280948873626,2.5849394481940657,2.8073203201603487,2.9999538332662397,3.169867254358979,3.3219280948873626,3.4593451128578367,3.584869919040029,3.7003186090825677,3.807239038879032,3.906746799860392,3.9998622297342523,4.087261257332518,4.169762325301615,4.247703484497745,4.321928094887363,4.3921194841591324,4.45915273768388,4.523265443381141,4.5847291543459505,4.643856189774724,4.700096631671995,4.754361946835098,4.807074137005884,4.857540979043372,4.906309552611857,4.953889338252042,4.999303670243021,5.043996184350933,5.0867636776478244,5.12856866053921,5.169548543811801,5.208465678037411,5.247382812263019,5.284744739047543,5.320773630882565,5.356802522717584,5.39186850156431,5.425008654434449,5.45814880730459,5.491288960174727,5.522853088874783,5.553103864099768,5.583354639324753,5.613605414549739,5.643856189774724
1000,1.0,1.5849610585062932,2.0,2.3219280948873626,2.5849567260822415,2.807350586736564,3.0,3.169909279377604,3.3219280948873626,3.459424383411603,3.5849394481940657,3.7004310300382857,3.8073203201603487,3.906854467667091,3.999953833266239,4.087432432737009,4.169867254358978,4.247866818156535,4.321928094887363,4.392242275981293,4.459345112857838,4.523466767815353,4.584869919040029,4.643856189774724,4.700318609082567,4.7547740099176705,4.8072390388790325,4.857829557321382,4.906746799860391,4.954064237151455,4.999862229734252,5.044228917472278,5.087261257332518,5.129066240223902,5.169762325301617,5.209427694741583,5.247703484497744,5.285148801449224,5.321928094887363,5.357264308319504,5.392119484159134,5.42601258481374,5.459152737683879,5.491602688418256,5.523265443381141,5.554272201867786,5.5847291543459505,5.614292672060338,5.643856189774724
1500,1.0,1.5849625007211563,2.0,2.3219280948873626,2.584962500721156,2.807351718201447,2.9999948704115527,3.169919226803397,3.3219280948873626,3.4594226478281156,3.584962500721157,3.700426902688032,3.8073472447123224,3.9068905956085187,3.9999845837668677,4.087446203286506,4.169901948915222,4.247921720730513,4.321928094887363,4.392282820881505,4.459408606875782,4.52353318496219,4.584916333987396,4.643856189774724,4.700393448468373,4.754829755080135,4.807293311402289,4.8579269775602825,4.906890595608518,4.9541233260516195,4.999963899568402,5.044307613578993,5.087424589422861,5.129234657150412,5.169832419761186,5.2093442865097535,5.24781214602894,5.285281109803723,5.321799851528211,5.357420992342442,5.392201539600188,5.426203388350335,5.459380727734739,5.491709300581549,5.523400007858436,5.554533223724595,5.584824730455409,5.614526646612143,5.643856189774724
2000,1.0,1.5849621399872384,2.0,2.3219280948873626,2.5849610585062934,2.8073531177856887,3.0,3.1699224788258262,3.3219280948873626,3.459428368777295,3.584956726082241,3.7004357447615295,3.807350586736565,3.906881586250442,4.0,4.087450929052477,4.169919244072742,4.24791490871824,4.321928094887363,4.392303022157489,4.459424383411602,4.523557974682665,4.584939448194066,4.643856189774724,4.700431030038285,4.754878519668117,4.80732032016035,4.857975922811864,4.90685446766709,4.954153021887291,4.9999538332662405,5.044347176461405,5.087432432737009,5.129256078257735,5.169867254358979,5.209440810873754,5.247866818156535,5.285346831106088,5.321928094887363,5.357499866719994,5.392242275981294,5.426181423569212,5.459345112857836,5.491763001063219,5.523466767815354,5.55449030333818,5.584869919040029,5.614644583795535,5.643856189774724
2500,1.0,1.5849622699207089,2.0,2.3219280948873626,2.5849615771498144,2.8073528290868826,2.99999815334956,3.1699233845449712,3.3219280948873626,3.4594288505058564,3.5849588093868907,3.700435565942603,3.8073493806236387,3.9068848209696037,3.9999944659438214,4.087452623389214,4.169921301226307,4.247917352781561,4.321928094887363,4.39230299666065,4.459418681697345,4.523549013930833,4.584953287088152,4.643856189774724,4.700429585832775,4.754867175366071,4.807336484958428,4.857965103695934,4.906867543081428,4.954170888279861,4.999987114581803,5.044370983613313,5.0874295924336,5.1292484150477105,5.169888087816554,5.209414559758963,5.247899731907635,5.285386126994491,5.321881928153602,5.3575473637934685,5.392266625769364,5.426239237542305,5.459398253890308,5.49179534924634,5.523506658986842,5.55454953093276,5.584942294959762,5.614586275158201,5.643856189774724
3000,1.0,1.5849625007211563,2.0,2.3219280948873626,2.584962500721156,2.8073539601538124,3.0,3.169923559227449,3.3219280948873626,3.459429693973499,3.584962500721157,3.7004373117756724,3.807351718201447,3.9068905956085187,3.9999948704115527,4.087457071103575,4.1699192268033975,4.24792478379802,4.321928094887363,4.39231308745772,4.459422647828115,4.523551540039195,4.584962500721156,4.643856189774724,4.700426902688033,4.754881744793897,4.807347244712322,4.85796432947501,4.906890595608518,4.954182819684493,4.999984583766868,5.044386884132758,5.087446203286507,5.129262945941057,5.169901948915222,5.209445218356476,5.247921720730514,5.285393530759442,5.321928094887363,5.357532985871244,5.392282820881505,5.42623823727664,5.459408606875783,5.491816968388245,5.523533184962188,5.554563758235258,5.584916333987397,5.614676441331702,5.643856189774724
3500,1.0,1.5849623829389117,2.0,2.3219280948873626,2.5849620297267153,2.8073549220576037,2.9999990578316056,3.1699245300437955,3.3219280948873626,3.4594305594037453,3.584960615665702,3.700437952751551,3.8073549220576033,3.906887652731961,3.9999971713375877,4.087461072493012,4.169920291493286,4.24792398400557,4.321928094887363,4.392311648139846,4.459429267243061,4.523557487133124,4.584957782680174,4.643856189774724,4.7004302910502025,4.7548774849228685,4.807354922057604,4.857970384587772,4.9068788072416485,4.954191352178831,4.999985878186477,5.044390478495544,5.087459061760242,5.129283016944966,5.169911836100673,5.209433920354791,5.247919527782971,5.285385111010966,5.321904540554425,5.357529063168255,5.392294370251668,5.42623874943037,5.459403342632959,5.491832437054261,5.52355209887799,5.554556473653473,5.584952097137407,5.614675242217953,5.643856189774724
4000,1.0,1.5849624105602276,2.0,2.3219280948873626,2.5849621399872387,2.8073543810919745,3.0,3.169924099832855,3.3219280948873626,3.4594303559630606,3.584961058506293,3.7004380944318758,3.8073531177856896,3.906888340456499,4.0,4.087460137772019,4.169922478825828,4.2479234555218035,4.321928094887363,4.392312463922096,4.459428368777293,4.523560059513699,4.584956726082242,4.643856189774724,4.7004357447615295,4.754883360962989,4.807350586736564,4.857978555490425,4.906881586250443,4.954186200477639,5.0,5.044385926975942,5.087450929052477,5.1292717599232,5.169919244072742,5.209447428833752,5.247914908718239,5.285385350268151,5.321928094887363,5.357533331888486,5.392303022157489,5.426254593921284,5.459424383411603,5.491844053051891,5.5235579746826655,5.554579413028714,5.584939448194066,5.61468465967585,5.643856189774724
4500,1.0,1.5849625007211563,2.0,2.3219280948873626,2.584962500721156,2.807354708245791,2.9999994300463286,3.1699250014423126,3.3219280948873626,3.459431262653514,3.584962500721157,3.700438934976692,3.8073532124493967,3.9068905956085187,3.9999982911508876,4.08746070281419,4.169925001442312,4.247925801933203,4.321928094887363,4.3923142189226025,4.459427343347678,4.5235576791825975,4.584957371132709,4.643856189774724,4.700438011059281,4.754881727524554,4.807349217441091,4.857976726474906,4.906890595608518,4.954191686695796,4.9999914456083685,5.044385148549272,5.087453443953989,5.129272326328401,5.169925001442313,5.2094418876278175,5.247914979997363,5.285389403409189,5.321913846000543,5.357540944520857,5.3923097454334785,5.426249778940288,5.459417959928084,5.491853096329675,5.523551102766122,5.554573864788762,5.584947084488024,5.614698131368465,5.643856189774724
5000,1.0,1.5849624430095062,2.0,2.3219280948873626,2.584962269920709,2.8073546335762676,3.0,3.1699244243257434,3.3219280948873626,3.4594307529623864,3.5849615771498136,3.700438563753851,3.8073542300250764,3.9068891533936565,3.99999815334956,4.08746197638237,4.169923384544971,4.247926129654669,4.321928094887363,4.392316327570787,4.459428850505857,4.523558321673717,4.584958809386891,4.643856189774724,4.700435565942604,4.754884331823077,4.80734938062364,4.857975110884895,4.906884820969605,4.954190602251899,4.999994465943822,5.044386270559927,5.087460998282165,5.129278681623927,5.169921301226308,5.209448757287485,5.24791735278156,5.285395074030091,5.321928094887363,5.357549748440517,5.392315120291078,5.42625403459468,5.459418681697348,5.4918473389601035,5.523549013930832,5.554573800922273,5.584953287088152,5.614707139947231,5.643856189774724
