N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,1.001442695040889,1.5878421161640188,2.004328085122667,2.3276988750509187,2.5921529233985106,2.8159764904056823,3.0100526985524625,3.181408814686091,3.3349123502553635,3.4737720632667264,3.6007395644898073,3.7176309495732354,3.8259940744105885,3.9269445304328383,4.021502655347587,4.110344377986741,4.194288140996727,4.273671995233746,4.349339300664253,4.420973384976912,4.489449333542548,4.555004734280698,4.617911140286397,4.67848087075606,4.736164007694219,4.791872017898211,4.846026903109886,4.897936440188263,4.948147708797637,4.997170189478711,5.044027216510579,5.09016242565938,5.134372613997161,5.177620291929434,5.2200428702429145,5.260402699509413,5.300762528775911,5.339567150601324,5.377038737477235,5.4145103243531425,5.451018998240758,5.485601846151785,5.520184694062815,5.554767541973842,5.587774365714787,5.61946783598066,5.651161306246534,5.68285477651241,5.714548246778284
1000,1.0007213475204444,1.5864037535471822,2.0021640425613336,2.3248134849691406,2.588563463684464,2.8116786718592306,3.005049432643111,3.1756800595411594,3.328420222571363,3.466637858616048,3.592874270918955,3.7090872002836193,3.816697837926127,3.9169533329533137,4.010774046072906,4.098973993064121,4.182130162206534,4.2608510735245355,4.335633697775807,4.406669226390183,4.474493410787172,4.539336413265131,4.6014609120102525,4.661168530265392,4.718352297093679,4.7735290454492265,4.826715421931033,4.878027287893827,4.927665877953282,4.975704662764789,5.022224002868032,5.067312038126501,5.111065725507186,5.153592055919014,5.195009488517174,5.235396205477585,5.274393342754189,5.312560007226114,5.350060648184697,5.386118209137283,5.421694732497358,5.456309180672409,5.490170681062992,5.523341979317812,5.555726081801143,5.587454187808232,5.618632487806841,5.648917353041673,5.679202218276504
1500,1.000480898346963,1.585924297415082,2.001442695040889,2.3238516882752145,2.587366992455971,2.810237108283225,3.0033611588402938,3.1737664135791013,3.3262561800100294,3.4642316312977455,3.59025238253775,3.706197682851588,3.813598923222841,3.9136231724660004,4.007198058971312,4.095140576837913,4.178077220813593,4.256577890975847,4.33106516347966,4.4019007878207645,4.469507472162005,4.534112948595376,4.595976995967544,4.655397750101836,4.712415907142447,4.767333112101173,4.82027756677029,4.871392131275246,4.920836647670445,4.968550276460509,5.014871748324254,5.059696360681809,5.10329423487264,5.1455852009471545,5.18666386190489,5.226656627000421,5.2656053848665705,5.303555246988316,5.340554887059768,5.376656926220962,5.41191837182567,5.446401118922781,5.480059356654147,5.512868827847921,5.545040433471771,5.576654547684892,5.60742695276267,5.637609767266366,5.667420208775911
2000,1.0003606737602222,1.585683487507683,2.001082021280667,2.323370789928252,2.5867644273074046,2.8095171603470224,3.0025247163215556,3.1728078689076042,3.3251741587293626,3.4630351063795173,3.588924137444686,3.7047638298841963,3.812039345619454,3.911931018893553,4.005410106403334,4.093221709216033,4.17605069799652,4.25440703640224,4.328780896331585,4.399516497361934,4.4669985323762695,4.531492797407554,4.593234944679177,4.652512360020058,4.709447874043841,4.764256037433896,4.817058511686351,4.868074788098086,4.917314006713535,4.964973234693958,5.011134719833129,5.055888736788517,5.099334666824342,5.141518986105291,5.182490835966758,5.222425066241755,5.261211747284758,5.299052433994532,5.33599437153603,5.371926817128884,5.407029900150406,5.441329721498546,5.474854084547392,5.507632646512997,5.539697087025355,5.571081296308403,5.601821585770475,5.631956924286202,5.661529204025614
2500,1.0002885390081777,1.5855393479370645,2.0008656170245334,2.323082250920074,2.5864042721907032,2.8090840631359493,3.0020179264068045,3.1722316966103934,3.3245249459609627,3.462314240587635,3.588132738476846,3.7038980340407366,3.81110038772995,3.910924367084093,4.004322551066489,4.092069247520058,4.17482646436533,4.253111054928761,4.327410336042741,4.398073776824206,4.465478000869079,4.529896872110744,4.591589684276241,4.650781125970991,4.70764306103722,4.762369189578694,4.815127038179229,4.866044195924912,4.915235174318584,4.962827058525194,5.008931823835314,5.053604231875003,5.0969513797034685,5.139058741325756,5.179986953102778,5.219801964053364,5.2585756752102135,5.2963506093052475,5.333134949472536,5.369088924120581,5.404096725104653,5.438357875885772,5.471805431241953,5.504491065606163,5.536490914354843,5.5678223253089385,5.598503628344118,5.628436147550735,5.657994601175436
3000,1.0002404491734815,1.5854433990681192,2.0007213475204444,2.322889891581289,2.5861647465885635,2.8087966551947017,3.0016831442143705,3.171847152615301,3.3240921374486962,3.461834185708314,3.587607441629453,3.7033227018574504,3.8104775574567062,3.91025688403726,4.003601608013775,4.091304257879279,4.174006862752583,4.252252868920687,4.326496629183511,4.39712207092735,4.464472080471226,4.5288414218557875,4.590492831711231,4.64962696993828,4.70643813202507,4.761133423304416,4.813839372396322,4.864696906332492,4.913863621639481,4.961396294888938,5.007438508144795,5.052081257684166,5.095381026011396,5.137438217839428,5.1783176699870745,5.218101388601809,5.256818340149329,5.294530599351739,5.331305612653141,5.367150952810504,5.402141236994246,5.436337102562862,5.469747921335488,5.502396732021432,5.5343533977688555,5.565624420215406,5.5962174451410265,5.626218001658815,5.655638199275318
3500,1.0002060992915556,1.5853745815220228,2.0006182978746665,2.3227524920535854,2.585992526184493,2.808591517806937,3.001441752872494,3.17157332437624,3.3237829885113626,3.461491552319301,3.587227707872813,3.702911144250218,3.8100342128478255,3.909773042813739,4.0030886607109215,4.090758661157901,4.173423979449731,4.2516337712535694,4.325843981426918,4.396433633970957,4.463757352365728,4.5280916715473465,4.589698066385952,4.648802572772058,4.705582773339092,4.760236066503313,4.812919602929603,4.863741164751328,4.91285568669676,4.9603743309254975,5.0063749562246995,5.050985655825323,5.094260338381576,5.136290392857855,5.177125311305119,5.216853494850792,5.255545201570526,5.293216884090078,5.329942412925092,5.365773034830478,5.400744441205447,5.4348949196757035,5.468265612169849,5.500900805882706,5.532826566997991,5.564037041065029,5.594638763840519,5.624568008212621,5.653955055060947
4000,1.0001803368801112,1.5853230843204498,2.000541010640333,2.322649442407807,2.5858638243877943,2.8084364023726414,3.001262358160778,3.1713667948737436,3.3235511268083626,3.461233724764172,3.5869447641875154,3.7026021369932094,3.809697497227134,3.9094130567780545,4.002705053201667,4.090345527853796,4.172988205787717,4.2511695193638035,4.325354495609474,4.395919201524318,4.463215443259626,4.5275274708761435,4.589104474324798,4.648184274897392,4.7049441667643075,4.7595721198458785,4.812219682499564,4.8630279881335365,4.912111355773666,4.9595963068809725,5.005590443283444,5.050156707139498,5.093402046096144,5.1354032138469785,5.176231034876631,5.2159395565177515,5.254587373282351,5.292238151712373,5.328961233211697,5.3647468070929305,5.399696834242045,5.433828742885951,5.467178869256381,5.499778875776781,5.531673134287666,5.562874909513825,5.593415281559289,5.623340829921184,5.65269269690017
4500,1.0001602994489878,1.5852830996191314,2.000480898346963,2.3225692926833132,2.5857639979660942,2.808316504939717,3.0011215261892423,3.171207397034214,3.323370789928252,3.4610342571433903,3.5867257946600213,3.7023625283645436,3.809437105286236,3.909134787894346,4.002402782885702,4.0900254939979925,4.172650092075102,4.2508111920149805,4.324973784418129,4.395520207902356,4.462793631776418,4.527084267060326,4.588644258459425,4.647703376550428,4.704445497283972,4.759049513198232,4.811677302563758,4.862465111046561,4.911539279629161,4.959000670165426,5.004960728526986,5.049514730916877,5.092743325770582,5.134722507593982,5.175535482156882,5.2152126677913735,5.253846059609907,5.29148078247072,5.3281655245110615,5.3639529224803635,5.398882022841972,5.43298235579777,5.466310836234554,5.498906272085132,5.530764577970567,5.561947639442194,5.592481158590444,5.622392504919873,5.65171086277512
5000,1.000144269504089,1.5852509820176839,2.000432808512267,2.322505172903718,2.5856836174411533,2.8082202506008014,3.0010098865286223,3.1710785803584547,3.323226520424163,3.4608734480032752,3.5865485416947913,3.7021697978029176,3.809229733578232,3.908908926450901,4.002162195910893,4.0897702884477924,4.172375966114482,4.250522980728269,4.324669215465051,4.395201717652564,4.462458510091723,4.526732250763673,4.588277007980936,4.647318657872858,4.704042303544826,4.7586353389293885,4.81124465723404,4.862014656999384,4.911068636588183,4.958518687374566,5.0044668205705785,5.049002894690771,5.092221891917098,5.1341838447629495,5.1749707338694195,5.214642459434685,5.253255324432849,5.290877315185469,5.327554605546831,5.363320528604073,5.398230169958723,5.432313353766414,5.465622270373171,5.4981951971400145,5.530041141614832,5.561210198110362,5.59173395378033,5.621632076143498,5.65092539547508
