N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,0.0014788799019949572,-0.0016127835739384762,-0.017926884819266995,-0.03242620614670017,-0.049052123023602456,-0.08170378982620846,-0.11721706419110406,-0.1837377856081818,-0.23803546687066302,-0.2766886663756756,-0.3558647767526115,-0.4126107816942435,-0.4729154344034021,-0.5241791981896569,-0.5806366641231113,-0.6321889669175436,-0.6771048725238868,-0.7307731280449561,-0.7611659035730178,-0.8001186696770186,-0.8358013270216733,-0.8621545564352449,-0.8869689111385339,-0.9092825944376177,-0.9325580744306259,-0.9595845615299452,-0.9694910674773838,-0.9838218382168806,-1.011329223663164,-1.01786944118186,-1.0281606658068676,-1.0431646942321136,-1.0560527699307216,-1.0596114176982465,-1.0731727510826037,-1.0768275785195227,-1.0802900466176557,-1.0876958811608852,-1.092216325622338,-1.0995259804961748,-1.0976023871083225,-1.0989489024798194,-1.1052005809903394,-1.109432486443613,-1.1091439474354345,-1.1158765242929172,-1.1142414699132424,-1.1068356353700133,-1.1121255171866062
1000,2.5207309192200236e-05,-0.0014117886652757925,-0.010370214041480226,-0.013041870405881395,-0.025310925123810557,-0.03576917387682368,-0.06051141485617424,-0.08301230445591698,-0.09358656142548132,-0.12495470681870952,-0.1712392399185041,-0.20008719355164167,-0.24399232084081074,-0.2782815390195492,-0.3303290745288758,-0.3698108288145372,-0.4102543797941242,-0.4524772546574747,-0.4953252973718776,-0.5314888530634936,-0.5720285837124743,-0.6070379833713799,-0.6449327731120622,-0.6781628488872053,-0.7123066315215776,-0.7412086221740535,-0.770591511173492,-0.7994454119912713,-0.8211820172739981,-0.8470062585059104,-0.8717244335398089,-0.8843720600649347,-0.9051468686537361,-0.9311153793897364,-0.9509283912846127,-0.9625661312811165,-0.9764640935083468,-0.9894483488763473,-1.006327880854748,-1.0169076444879344,-1.0310460558886456,-1.0383557107624837,-1.0554276020796696,-1.059948046541122,-1.06451658083727,-1.0836563350463968,-1.085291389426072,-1.09375520033262,-1.1012091247105462
1500,0.00041616611768032917,-0.0010604016450916059,-0.0045098112029526355,-0.013491461484656377,-0.01731707116877996,-0.02680620849766318,-0.0359216769385577,-0.055987695124312245,-0.06653773845601742,-0.08511638611282982,-0.09418411370223141,-0.12284089931549452,-0.15143275342766177,-0.17980356280093845,-0.21288331612891787,-0.24113180313256685,-0.279926112656518,-0.3164631721914435,-0.34897190044614135,-0.3819935869375994,-0.415816770673997,-0.4504414516553323,-0.4829181200202335,-0.516356585079059,-0.5496668105786942,-0.5804763646741229,-0.6117668171165151,-0.6405565981546992,-0.6676472050336145,-0.6940645542267823,-0.7226299160363823,-0.7464504141559507,-0.7720983259939751,-0.7949890873094143,-0.8155394766696324,-0.8353524885645078,-0.8577302916431848,-0.874625853566485,-0.8924511522939129,-0.9134503801112963,-0.9296085645692536,-0.9456705693578162,-0.9555770753052535,-0.9679521927671018,-0.9868034079680505,-0.9991144056503027,-1.0096941692834887,-1.0203380526962698,-1.028449204815045
2000,0.0006129681333372722,-0.0006982783881768055,-0.004425376344501624,-0.006095679973755227,-0.01184366085265233,-0.020559435211028453,-0.027830092686850792,-0.036903855338921106,-0.05023215999840139,-0.05498631719859223,-0.07842999232101626,-0.10232429347804706,-0.11475821418919487,-0.13045742062836085,-0.15560197992571415,-0.18783879424070396,-0.1889165472411038,-0.2393911971181754,-0.25713239047588843,-0.29286709330045907,-0.3214324551100622,-0.34980545758087705,-0.3776975617047311,-0.40616674384494006,-0.43730491181079234,-0.4679621814296837,-0.49597451014027794,-0.5229529074049015,-0.5502198436777022,-0.5801557657761487,-0.6035274254385508,-0.6325255957604181,-0.6574120852157525,-0.680350936365886,-0.7061992225151486,-0.7281522320540077,-0.749359849155075,-0.7722506104705147,-0.7899957594734488,-0.8112995562439087,-0.8288763908254051,-0.8477035611090069,-0.8634289370546973,-0.8801882444463569,-0.8948556440287274,-0.9157025873695737,-0.9243347126975583,-0.9387376181891003,-0.9525153558295887
2500,0.0003362675644705161,-0.0002802547919080289,-0.003160564634171162,-0.005594653907571075,-0.010924721545201048,-0.016605471855497964,-0.02281818116037641,-0.027926771887377452,-0.042493894439271374,-0.045596223966741734,-0.0630037362550242,-0.0725545597747569,-0.09241690371921017,-0.10378116514769424,-0.11722475243265365,-0.13966261982684358,-0.16380809567072235,-0.18349388794930105,-0.2014639163570386,-0.23103844910280544,-0.2593965683518355,-0.28344148569998495,-0.30835202007266815,-0.33410893553600557,-0.36000050253649274,-0.3859497773386158,-0.41120655852111193,-0.43815610188491755,-0.464316971959704,-0.49053554983612635,-0.5177928681419885,-0.5412414715399043,-0.5670560948048768,-0.5916780901693812,-0.6149920420301473,-0.6356706709495565,-0.659484757091163,-0.682817944885806,-0.7022654740369909,-0.7227902154853714,-0.7443729332970701,-0.7606080614905402,-0.7805364889886865,-0.799560827594541,-0.8138146545985245,-0.8324735104606888,-0.8498243228191136,-0.863231768732442,-0.8801786264794176
3000,9.73675290777115e-05,-0.0008287505722579063,-0.001845570953333368,-0.005995151050430721,-0.009889811529347906,-0.013514569401813854,-0.0157537867265902,-0.02752504652920822,-0.03166079446771073,-0.04369206289077971,-0.056423343517783164,-0.06422014549359066,-0.06829565686764644,-0.08153550072969473,-0.1062014903272441,-0.11809655686776822,-0.12747212247280076,-0.14915105296759987,-0.16414074992419891,-0.19040053297553153,-0.21680500475581335,-0.22546847112042637,-0.25873934061098586,-0.28068433517739777,-0.30327052753975886,-0.32675439681645185,-0.34980545758087705,-0.3734175664167605,-0.39678922607915984,-0.42153946100285644,-0.446081306642867,-0.46999798443182694,-0.4922475479513144,-0.5157795070627031,-0.5411549098374504,-0.5624426766630117,-0.5853334379784503,-0.6058998572835668,-0.6288226784888025,-0.6501745650939599,-0.6683685525540586,-0.6908265053572301,-0.707866336784619,-0.7262687135284027,-0.746370264431456,-0.7635543653629329,-0.7773080580860743,-0.7959829438931363,-0.8114839006102439
3500,0.00021185823380993817,-0.0003863546644468968,-0.001958271412602447,-0.003655008086570692,-0.007271646717709348,-0.012226324794942496,-0.017590462518167073,-0.019895932957697243,-0.02581487971030631,-0.03726184105724513,-0.04096436583453796,-0.05399925187305315,-0.06660019908615573,-0.07263927803626034,-0.0834815963609467,-0.0956615971913503,-0.11148151122483434,-0.13152674394911745,-0.1505234766177956,-0.16359038396524814,-0.18065765933600536,-0.1970752251924974,-0.2223811355884564,-0.24163080941974605,-0.26149878112570324,-0.2803663748728793,-0.3028972588228304,-0.32467508396386874,-0.34613689019118876,-0.3680933347182415,-0.39009099910360406,-0.4114016658504509,-0.43425120730757705,-0.4562900915512529,-0.478493855228173,-0.5020441342765896,-0.5228601627237,-0.543896030415139,-0.5653166167841466,-0.5855830471204451,-0.6059181772205955,-0.6266929858093953,-0.6440602861111451,-0.6646564753139312,-0.6815840971270263,-0.7019879269910285,-0.7208803620502886,-0.7342355961430895,-0.7527295725720096
4000,8.017592154561956e-05,-0.0002097483325664395,-0.0018825768962646397,-0.0027807091504410296,-0.006510292949442014,-0.009007914838299231,-0.013371233999489755,-0.01741062247474278,-0.024751791391139415,-0.03124876658010793,-0.038119516605675544,-0.04702886401270051,-0.05359791711638042,-0.06354830047068781,-0.07526228373930258,-0.08568775731163161,-0.09617636350183911,-0.1131207491890791,-0.11987376199499966,-0.1419502172739601,-0.1557077882549577,-0.16408911937985762,-0.188039975474032,-0.20622525649238801,-0.22940053396001933,-0.24766264868593874,-0.26633352700677726,-0.2856656405546873,-0.3053584278628234,-0.32566436056333536,-0.3454052377061653,-0.366432517927123,-0.3870750794705086,-0.40748921429908863,-0.4287809886108737,-0.449724111621113,-0.4693688090945498,-0.48968676425373747,-0.5121567395155822,-0.5325227845094638,-0.5503160233470945,-0.5722810553446296,-0.5890283402776149,-0.6101277552506179,-0.628582229315322,-0.6459787270167077,-0.6628101691604121,-0.6828035179353975,-0.6985409163397609
4500,5.376370275919493e-05,-0.0006018464260052923,-0.0019761646051374023,-0.0035588658289724398,-0.005021983411630883,-0.009522890774750409,-0.013939299725455667,-0.015543747867219251,-0.02252988172144245,-0.029652628652149453,-0.03225175282078299,-0.03892063873118527,-0.04584058555901731,-0.054855075620355534,-0.0666581812660105,-0.07265687118787499,-0.08959357893453296,-0.0973096188482856,-0.1128629962067471,-0.12082764801900492,-0.14396369794500075,-0.14999951156599955,-0.16950016960691183,-0.18840528571016701,-0.19708957483460215,-0.22046517550769895,-0.2374034839507279,-0.25463033140193486,-0.27280828891713677,-0.2911465458813253,-0.3099015814128814,-0.32858181053491003,-0.3477429380039032,-0.36736359055999296,-0.38724072223446265,-0.40653008926264533,-0.42615074181873425,-0.44615611305239516,-0.46431269730773117,-0.4844356214706478,-0.5041845135859289,-0.5223624711011299,-0.5420151835470177,-0.560577859739789,-0.5791084760427623,-0.5976925254953995,-0.6134659912757847,-0.6324668192957894,-0.6503455511728795
5000,4.626567117969649e-05,-0.00022660910386604251,-0.0012976085161388877,-0.0030108778360710808,-0.0054184978987898424,-0.008492525358639157,-0.012455556742978874,-0.013901644263828634,-0.018115572133964444,-0.02349518753436622,-0.02782411453751392,-0.03532122492434551,-0.04375589635442263,-0.05209147101037054,-0.058155729906034834,-0.0674667348348663,-0.08095401590056014,-0.09287581124515124,-0.10237623822010448,-0.10952721679046727,-0.1280146589870128,-0.12718008312828916,-0.1522824329726013,-0.1673373156232189,-0.17701770367443892,-0.18905933021736132,-0.21394205659689366,-0.22974437627809863,-0.2459987404054464,-0.26283018254915097,-0.27970009656061284,-0.2971374706214913,-0.31542122577302306,-0.33296439747023315,-0.3514693658613694,-0.37025325529374337,-0.3882292355032195,-0.40770561855522125,-0.42593166590511794,-0.4446482295689176,-0.4632109057616889,-0.4821198287642732,-0.49976879809781494,-0.5178986657783202,-0.5352687140706234,-0.5537929183956383,-0.5708263378450669,-0.5893505421700809,-0.6064128155203283
