N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,-0.9985753973896639,-1.576942633729742,-1.9758882596610325,-2.279746481078011,-2.5207623255849083,-2.710237920549831,-2.8656499782577773,-2.9801932950312535,-3.0801370134723802,-3.1712393605357927,-3.2255687441936205,-3.2551349427466856,-3.2849724248487826,-3.268112657336447,-3.2797095077214826,-3.2582156522009753,-3.213175300873654,-3.214861937402499,-3.1175816212807725,-3.0638061474096863,-3.003759526362707,-2.918502567056404,-2.8373606809723437,-2.751069669513957,-2.679811748835532,-2.615952907208827,-2.5063453751890763,-2.4108235717474087,-2.368271413541587,-2.263718522213922,-2.168780841621455,-2.0977423176052503,-2.019310150759773,-1.9232812833891606,-1.8541623813253696,-1.759419917972866,-1.6730481232513208,-1.5946719926990944,-1.5165205371599244,-1.4419906667286513,-1.347342758709614,-1.2720787199871864,-1.2038063283336071,-1.1284107156702978,-1.0398050789041868,-0.986746695591456,-0.906684203625662,-0.8031536444895325,-0.7422725468552774
1000,-0.9989305823739294,-1.5806498687862958,-1.9872407440145927,-2.302422904316421,-2.5524699813470275,-2.761337781821857,-2.9318735477485776,-3.079367217824129,-3.213459601176618,-3.3212127755812717,-3.408116464343025,-3.492338262802688,-3.5593153048982,-3.6224463905638777,-3.664867809334657,-3.692655133319297,-3.721660963107941,-3.739174107110868,-3.7633642809951553,-3.741588671490239,-3.7510934242281175,-3.7209309186416544,-3.7188318160199434,-3.694891958039811,-3.664936776264137,-3.6260356126861932,-3.5818694646890363,-3.555483687781621,-3.4929766939328224,-3.456012357434412,-3.4093077102606584,-3.328933042546605,-3.278549221146331,-3.2484233941909433,-3.200813481462388,-3.130886769966404,-3.0677326292989235,-3.0023835782878328,-2.956564364974293,-2.8907249661420726,-2.839563959815002,-2.7714346698308043,-2.7305284584020386,-2.654141254989678,-2.582785278293196,-2.554803831240956,-2.4744020786255048,-2.418311262973107,-2.3594802534502586
1500,-0.9994867355383957,-1.5820278081637953,-1.9926956617554124,-2.3065261938996997,-2.5630792605952837,-2.775196782277216,-2.9567919983151643,-3.1092300662866728,-3.2475424169940177,-3.3663790991497686,-3.4770368029792222,-3.566884516438897,-3.6472729453415664,-3.7194786593888547,-3.7819418356054313,-3.8402924348735996,-3.8879686932007815,-3.925130104230288,-3.962708034829798,-3.978552935386359,-4.000068495769884,-4.0276716172516185,-4.026373313742199,-4.030711910001166,-4.038395042658433,-4.019887910435773,-4.016149778015109,-3.9977089668999644,-3.97222698477444,-3.9532892744576342,-3.932799030362366,-3.8977854727772034,-3.87840472420469,-3.8410656434278563,-3.7972043317057853,-3.757125576224555,-3.730882155574798,-3.681213762150265,-3.6389258368301247,-3.6119122428117887,-3.5703314110198443,-3.5253123690963966,-3.4691130717214174,-3.417339679345964,-3.386672992823951,-3.3411678379304077,-3.2879521514908228,-3.237278817943255,-3.182137087032743
2000,-0.9997654734263351,-1.5828099927259565,-1.9940002373454155,-2.3123881272164843,-2.5691221418887187,-2.7830089278034227,-2.967149581244907,-3.126947258077739,-3.2659744083891598,-3.394067715214666,-3.5001222738925346,-3.5951765073687323,-3.6866775700440035,-3.7684451119692235,-3.838354383244146,-3.898421751100708,-3.9683586434944287,-4.0047661835939445,-4.06056182113559,-4.097712454809778,-4.13298809835287,-4.154102087072996,-4.171469473675548,-4.187967313218077,-4.210738353423674,-4.229373739617286,-4.230058021194404,-4.229908144318322,-4.2137548942126575,-4.232407205922922,-4.201105661077652,-4.19897421582231,-4.186165371037379,-4.169415676392762,-4.153647248847497,-4.129432941867135,-4.100089631081853,-4.0813175170695954,-4.045500161775949,-4.017853160997088,-3.9821771278111187,-3.955842846891024,-3.919833219415177,-3.8847115690444847,-3.842531002965915,-3.826140352526972,-3.770254915434171,-3.7329471119744757,-3.6955617416867077
2500,-0.9997353252699686,-1.583379678284313,-1.9953900580970474,-2.3139370657863765,-2.5715653172236665,-2.787799164810921,-2.9734426114904777,-3.136340962942534,-3.2760110624685255,-3.4063369107952584,-3.516960448059153,-3.6208815870270445,-3.710507874262796,-3.7964265943745796,-3.874302304382336,-3.9414572331779802,-4.002238306475693,-4.060135551613487,-4.1143982318153025,-4.1587761259157014,-4.199973326502538,-4.23583589551336,-4.266595755683129,-4.292216397114799,-4.331140085667954,-4.343663230219533,-4.357764355648854,-4.370113821679405,-4.3703583574493,-4.380229178630679,-4.395645066211674,-4.386252761290575,-4.390201752269139,-4.381538983581129,-4.3676425047469705,-4.34780195099005,-4.341203868102607,-4.328315853725113,-4.304236213956882,-4.288712489341492,-4.273233705012049,-4.239329409079989,-4.21548556520629,-4.193821790146324,-4.158815174853577,-4.134830356430819,-4.1138231129052,-4.072037322502498,-4.04784490340406
3000,-0.9996880100043166,-1.5833458795676196,-1.9965524982017777,-2.3146024342394798,-2.5734052426857406,-2.791220119590919,-2.9794995250289267,-3.1398119343809663,-3.285539293320839,-3.4123384239763506,-3.5263340085168555,-3.6322622693720725,-3.731008263677779,-3.817311663026928,-3.8910028369743803,-3.9649359810173403,-4.034655311095167,-4.093298442135347,-4.150811376012617,-4.1985810849982785,-4.2411583532240735,-4.292101933604088,-4.324301380392288,-4.356667865882928,-4.390635296640661,-4.419782081910843,-4.4401050954071355,-4.455176641742499,-4.46726181170194,-4.485328875032392,-4.501073956451857,-4.504467460169687,-4.501828749319469,-4.509316156005144,-4.517017812151639,-4.5107228824643695,-4.503001706170423,-4.492480510040557,-4.489156211947294,-4.481763200629585,-4.459940506741774,-4.454054655302881,-4.425596825312224,-4.406073088365217,-4.39610519976995,-4.371841175824158,-4.342742546616387,-4.323543305807868,-4.29606620682574
3500,-0.9997967801795716,-1.5837388269311548,-1.9968568217323655,-2.316390803596077,-2.575658946844523,-2.793203887289466,-2.9803845559342492,-3.145962283137685,-3.2913991656042083,-3.4191602724953403,-3.538408757422108,-3.6425251984712306,-3.7378843968465247,-3.8287328004046093,-3.9103411165328574,-3.9852218296839945,-4.052869706592114,-4.113533077381023,-4.170306569057128,-4.2260558711402805,-4.276090178690268,-4.323121983739307,-4.361123381368961,-4.400974606385399,-4.435355347494371,-4.473574389846162,-4.493416137288287,-4.520198975915778,-4.542895862753726,-4.5623783975214725,-4.5788437369341635,-4.582241726890831,-4.599601490856068,-4.606527573875012,-4.610570005391613,-4.625488904172059,-4.6243256561238155,-4.622161622161699,-4.6143184369425905,-4.612931103549573,-4.606091540548024,-4.600181550603321,-4.579776099936901,-4.578131771597252,-4.55658442787597,-4.549009347995331,-4.539094175949227,-4.508496354064447,-4.492366178002217
4000,-0.9997695826406061,-1.5839559421543172,-1.9971651743107008,-2.3172916764701417,-2.5767480900433792,-2.7958178263141207,-2.9838466967944215,-3.1489567823573847,-3.294133395942292,-3.4248718629355754,-3.5430901270842616,-3.649874754118074,-3.748906841039912,-3.8385080587106177,-3.9204405335045127,-3.9970100262451873,-4.068186597858334,-4.131314957772043,-4.195176399808693,-4.247404193296221,-4.3001676455983215,-4.352256651941417,-4.393536552806787,-4.434837723068607,-4.469797884623136,-4.504848827409426,-4.533058913311212,-4.5693214489343825,-4.595731129016287,-4.616823368835368,-4.625809744296232,-4.6562306424521696,-4.665783870635551,-4.682699663064001,-4.697483060898873,-4.710994027408024,-4.703393467324966,-4.708531966061122,-4.71985666794935,-4.722353085645147,-4.711133228790155,-4.720417878777928,-4.69787340504841,-4.7040821785300695,-4.68677426229053,-4.682195751806278,-4.664279355430296,-4.6608740864559675,-4.6422226383460705
4500,-0.9997864326778981,-1.583860080263215,-1.9973287734830607,-2.317263271891098,-2.5780432741681794,-2.79634179815971,-2.98461462906542,-3.1512527649775413,-3.296957551138196,-3.427773862167518,-3.548558744013825,-3.65693448142735,-3.7563020759807606,-3.8469222696538456,-3.929401287477363,-4.008815351123659,-4.077439125901217,-4.145892987506551,-4.2061056509340595,-4.266180824684317,-4.315090598391766,-4.369219316340087,-4.413586593684768,-4.453996535642007,-4.4998002116635485,-4.533786831454198,-4.567160882862508,-4.598267059080692,-4.6307707358416,-4.6578219620551256,-4.676803385773564,-4.700458203306435,-4.7217328698523,-4.737259646726733,-4.753827404289146,-4.765208786066463,-4.771564648770537,-4.788463279323021,-4.786427657215413,-4.792693371006418,-4.79431738820318,-4.793052946716389,-4.793055626310276,-4.792109177743674,-4.790918500444401,-4.784127995032409,-4.772765179290412,-4.772063212082789,-4.762419641676756
5000,-0.9998067285794563,-1.5841278486487786,-1.9978363659489973,-2.3178258048957265,-2.5782858404093165,-2.7974821487188177,-2.9861980726638433,-3.153163853032353,-3.300535266220779,-3.4325357269407797,-3.552800351185154,-3.661138680065585,-3.7601576759127915,-3.851558150773288,-3.937379475346314,-4.015642324753437,-4.086527816025585,-4.153447862959407,-4.217288124512375,-4.278408126690549,-4.330291417031123,-4.388558509968864,-4.430853235241746,-4.475390726443131,-4.519997529314958,-4.561028283489582,-4.591912243415715,-4.626299100709689,-4.659362896862151,-4.688048894008545,-4.70858316948539,-4.737986910393988,-4.763158467528043,-4.779440507673852,-4.797301381850927,-4.815699759288115,-4.821698411648866,-4.8394365289586725,-4.853261680727576,-4.8547950481917415,-4.863666947559716,-4.8707931405811555,-4.868170904366275,-4.871305434222434,-4.864417984372057,-4.8655235449028575,-4.8620615751927625,-4.862103948155037,-4.860085267602435
5500,-0.9998572665286717,-1.5842338928416724,-1.9980526894227462,-2.3179384116041124,-2.578738733610395,-2.7988397730366184,-2.9883978924062657,-3.1535842684023816,-3.301966367673819,-3.433500157765761,-3.555514846277431,-3.6639164923898084,-3.7635472543306454,-3.8562790497385486,-3.941688357384612,-4.023673555479921,-4.097025180838235,-4.16517502493149,-4.2293612857000875,-4.28933533719048,-4.344453614169025,-4.393582168027035,-4.447439594187953,-4.491445441080932,-4.5363394838017035,-4.575361497854503,-4.6115409573054205,-4.648493044351057,-4.67970392349362,-4.714552755163665,-4.742912665151819,-4.766250535170345,-4.7933743497637105,-4.8139834457052,-4.8356027464167415,-4.851058766740098,-4.8691372778520465,-4.88029819330793,-4.893227640357594,-4.9081637051718525,-4.914229197701308,-4.921387764233738,-4.934415492606734,-4.934448288607342,-4.933053792246715,-4.934317748600603,-4.940549712548082,-4.937375396114458,-4.93657723186486
6000,-0.9999426852874901,-1.5842645751271611,-1.9981336012859552,-2.3185768435865755,-2.5792288430340213,-2.7992407738224623,-2.989367566514369,-3.1550949595492677,-3.3040122726688055,-3.436667187538724,-3.557430730310092,-3.668008593032096,-3.7671083464161588,-3.8593970411208973,-3.9457667752374386,-4.026104974806456,-4.102437409843118,-4.170543458534181,-4.236503435341216,-4.295746592328659,-4.35304081559771,-4.408086215018303,-4.458580074587241,-4.505432721923454,-4.551664973422242,-4.592594387019258,-4.629805569971129,-4.665427143915513,-4.701662988433902,-4.73692115030491,-4.764932623864095,-4.787895506776412,-4.815668670855301,-4.843783438587512,-4.865657939031434,-4.880037732647007,-4.90230489810297,-4.916865498340291,-4.932080727188703,-4.9472709370275485,-4.957680862778795,-4.96685441919445,-4.981257117712451,-4.98569851022775,-4.994762449950934,-4.99701652824682,-5.004023771709312,-5.004056349268351,-4.996114611569372
6500,-0.9998684021580573,-1.584411444373849,-1.9984824261258771,-2.3189651146398385,-2.5801492354736473,-2.800057629189306,-2.990616531833306,-3.1564918277458687,-3.305205940695313,-3.4381240317332162,-3.5584091173955548,-3.6696270760353156,-3.7718870910008695,-3.864905521961069,-3.9516234563577393,-4.033845255191594,-4.10547972391972,-4.17668707372631,-4.240282665172035,-4.306490818281402,-4.360662326606414,-4.4162052535330085,-4.465054060384166,-4.517933828243387,-4.560660533354219,-4.605907195226421,-4.642959813556389,-4.680496749451539,-4.715547866660856,-4.751643269406858,-4.784554592452315,-4.808556610153832,-4.838999958505938,-4.861456233715163,-4.889608419699072,-4.907610063935738,-4.933993987907054,-4.94822210945283,-4.966193362739501,-4.983306898329037,-4.9967791166468585,-5.010030346918018,-5.017902916685539,-5.028133085775699,-5.037935117144318,-5.0453353618793635,-5.051009999553161,-5.054116732026633,-5.058139176139149
7000,-0.9999190483959511,-1.5842378949869653,-1.9983735249599457,-2.319013209264438,-2.5801201649846472,-2.800911433573377,-2.990406745857126,-3.1578613927171992,-3.306246824214736,-3.440854588685657,-3.560646247738591,-3.6726269974400716,-3.773889549736096,-3.868126624936727,-3.9555817279351277,-4.034866099025548,-4.113209788905406,-4.1813871587805425,-4.248714832558296,-4.308710998161576,-4.367708750917971,-4.425671915104675,-4.474060066301795,-4.52399997324451,-4.571835073612005,-4.615768514961096,-4.654821944860767,-4.695233638787337,-4.730969794402544,-4.767593787402439,-4.802493161209788,-4.8265380460072995,-4.856849236511465,-4.884357808324444,-4.916406102008069,-4.932185140771659,-4.953436961226431,-4.975134827859835,-4.997190210477837,-5.009089635282256,-5.0262481714185165,-5.04124874427286,-5.056884263559612,-5.070499610898767,-5.072641620972741,-5.085555508442936,-5.092921352909468,-5.102042551531179,-5.103375098464992
7500,-0.9998919353973393,-1.5845098739601164,-1.9987214918266223,-2.3191163956637513,-2.580727427065839,-2.8010660205418407,-2.991438256438876,-3.1591170346735495,-3.3076165935377095,-3.4412196488777695,-3.562786856672852,-3.673555453290082,-3.7765045565739443,-3.8697575733286014,-3.9581760719568573,-4.038784336256145,-4.115232382996418,-4.186517479475776,-4.253455778615886,-4.317008623076518,-4.375015353960782,-4.430913067237889,-4.484064267915293,-4.534968620223721,-4.580264065581783,-4.624289386478568,-4.665413182793511,-4.704845893520207,-4.74518444708875,-4.778098460682494,-4.811973510031035,-4.8442690096152345,-4.873875475365529,-4.901415120568271,-4.929985926241807,-4.9516703478132875,-4.98114389799719,-4.995178832946695,-5.023357567122364,-5.0324575749227005,-5.050772186076617,-5.0702696123826705,-5.0798583925575995,-5.093117794608824,-5.1103361808371295,-5.119350788204975,-5.122903144623889,-5.140120310335806,-5.146416830603763
8000,-0.999916992661414,-1.584445639049705,-1.998644820832103,-2.319270746383827,-2.5809921121877277,-2.8012070885487366,-2.9919199242856824,-3.1593676601032166,-3.308682700523997,-3.441538608167423,-3.5641831640074106,-3.6747955351345434,-3.7782143215847532,-3.8737798177325113,-3.959502715124022,-4.043756961272834,-4.119461553523551,-4.190448959461929,-4.258341489954337,-4.321859834814512,-4.3813981920068175,-4.436647782527944,-4.489462765664228,-4.538890434125583,-4.587711403054494,-4.632167063498576,-4.676432388731033,-4.714726598610846,-4.754942931154079,-4.793135149148607,-4.8259779901158355,-4.857925456085798,-4.88914589973757,-4.919325127532469,-4.941989926158686,-4.9678718919321625,-4.994607328988163,-5.015297058444722,-5.037416964673821,-5.059455011825727,-5.0761741872151145,-5.0918977604677265,-5.108304622826821,-5.122190743849123,-5.1358074909846225,-5.146063049335155,-5.1553904890713795,-5.167971398668529,-5.175796343113183
8500,-0.9998954307967137,-1.5845520105222421,-1.99874242533536,-2.3193802380178727,-2.58121718066955,-2.8022582369843074,-2.9923362487613705,-3.159929010289669,-3.3091331612235653,-3.4437261535905974,-3.5651104133392995,-3.6762836983436773,-3.779736946108927,-3.8747394887629465,-3.9625475551707523,-4.044534201987236,-4.122100185483973,-4.1944843617640535,-4.261419190586881,-4.325974859051287,-4.385128630687619,-4.440379578016117,-4.496816939807107,-4.545839187219863,-4.594787904765019,-4.639177011833084,-4.6813787278571635,-4.724338303040584,-4.763410903003287,-4.8019924247777706,-4.837391505321706,-4.8677552464515905,-4.900176323488594,-4.928273407171087,-4.95623876448705,-4.985169746850061,-5.008154194510491,-5.0360859709191095,-5.055017468854933,-5.081904981264033,-5.095615674970099,-5.115465951883337,-5.130629841280131,-5.145501154733485,-5.1599182855923145,-5.176067750681189,-5.185317033577438,-5.197477656086703,-5.204982736799
9000,-0.9999329616400809,-1.584438048254552,-1.9987341461926205,-2.319861638910614,-2.5815059013541126,-2.8020220192757193,-2.993193945608659,-3.1600407488111726,-3.308732268973469,-3.443581195086647,-3.566984611091627,-3.6795796567454238,-3.780716146609868,-3.8764281663414923,-3.964974657814897,-4.047250682078546,-4.123462940284577,-4.196297060126763,-4.264464645685243,-4.32807589552655,-4.390643378531627,-4.447246939563168,-4.500400694266916,-4.553072759016033,-4.600907204730336,-4.645147705477129,-4.6899516686134195,-4.731282764067806,-4.772538964741253,-4.809400254894208,-4.8439615095466815,-4.8785969176610955,-4.912675785182449,-4.941285799527636,-4.9710900734699655,-5.001295713274936,-5.0210623247648405,-5.048686115546517,-5.073256826779673,-5.091749643392418,-5.113269345395311,-5.134654730900629,-5.149251501652574,-5.1686492197755545,-5.179499471676113,-5.20001008957253,-5.20858858689085,-5.221240081382763,-5.235324020462117
9500,-0.9998945695459996,-1.5844107768412443,-1.9987300014615232,-2.319743105118019,-2.5812344670873197,-2.8023453918544607,-2.9928925923507017,-3.1602847540831167,-3.3100126486188626,-3.4453884962406858,-3.567853719993528,-3.679014606595823,-3.782705039697342,-3.877991421593719,-3.9657676409532527,-4.049269786793717,-4.126857909580147,-4.200124399863297,-4.267502616575274,-4.3340263827943915,-4.393070279894178,-4.450422915827882,-4.5072539506405525,-4.557316298537228,-4.607210467278984,-4.652989907329924,-4.696909427346225,-4.739064129566564,-4.779371036155918,-4.818126340571833,-4.856131023759299,-4.887927174929435,-4.919754738255509,-4.953117067643775,-4.983539845113215,-5.0105499460467,-5.037370356873418,-5.058152043209932,-5.083540856873743,-5.1071901160079936,-5.1317751708509185,-5.15142098090148,-5.168158132018634,-5.185484820571853,-5.202650519360714,-5.2170802007100985,-5.228128069767562,-5.243839342042293,-5.259476267091376
10000,-0.9999505157048373,-1.5846133017393054,-1.9990214304285627,-2.319897394445921,-2.5814174658712945,-2.8026946056539024,-2.993296175010275,-3.160895852192146,-3.3110567831052693,-3.4451847115728804,-3.568331172516555,-3.6806453252293774,-3.7834741063528456,-3.8795044660749056,-3.968834943614901,-4.05110131904619,-4.1299072539956345,-4.201128429006025,-4.2705152920942755,-4.33616004790417,-4.397089359349877,-4.454689462544237,-4.51008667372053,-4.561923228413055,-4.611569584434533,-4.6582118121003235,-4.701860771372629,-4.74493718702895,-4.785465023877662,-4.822666571154802,-4.862586772821832,-4.8944511324156945,-4.929168111963002,-4.9605824349091385,-4.99105783509568,-5.019097948270964,-5.046366586781762,-5.073065978829947,-5.095231451040858,-5.121129400525921,-5.143483554473376,-5.161349723643318,-5.182480472291844,-5.201713284365514,-5.222489170637828,-5.233713170095241,-5.248461591443909,-5.266062502273412,-5.276124666748875
10500,-0.9999065394165092,-1.5846486723421656,-1.9989556817341814,-2.3200064276078374,-2.5817869352521154,-2.802592457907801,-2.993676077057853,-3.161472722295655,-3.3113964383882033,-3.4455655323257406,-3.568632230852388,-3.6815397726401713,-3.784830434700104,-3.880927373481003,-3.969711276632475,-4.053527340104965,-4.131895886672414,-4.204473733992794,-4.272571035271278,-4.338077429778169,-4.399871835763329,-4.4569449742145,-4.512765959602238,-4.565464061071054,-4.615097653519509,-4.664217844078371,-4.7075297508148655,-4.7507828187794185,-4.793960977805904,-4.829720413498736,-4.8682445527701566,-4.9049756256297155,-4.936573492015999,-4.970986463619471,-5.000350972781788,-5.029567379568659,-5.054938954091797,-5.0829579189447935,-5.108308627393618,-5.13234636344225,-5.156701603056186,-5.180749059660498,-5.19641968788714,-5.215775158579598,-5.234793415296155,-5.251651193242615,-5.269473018438597,-5.2812457169539675,-5.294867844772398
