N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,-1.0029034825123309,-1.5913695841386317,-2.0061848555197006,-2.331683502550013,-2.6001105528338013,-2.8227681337391695,-3.0171329575511185,-3.1759189222451893,-3.3256837094316816,-3.4709352103631264,-3.5814335209462316,-3.667745724440929,-3.7578878592521847,-3.7922918555261034,-3.860346171844594,-3.8904046191185193,-3.8902801733975414,-3.9456350654474552,-3.8787475248537904,-3.8639248170867053,-3.8395608533843797,-3.780657123491649,-3.724329592110878,-3.660352263951574,-3.612369823266158,-3.5755374687387724,-3.4758364426664596,-3.3946454099642893,-3.379600637204751,-3.281587963395782,-3.1969415074283227,-3.140907011837364,-3.0753629206904947,-2.982892701087408,-2.9273351324079733,-2.8362474964923887,-2.7533381698689765,-2.6823678738599805,-2.6087368627822625,-2.5415166472248267,-2.4449451458179374,-2.371027622467006,-2.309006909323946,-2.2378432021139107,-2.148949026339622,-2.102623219884373,-2.0209256735389047,-1.9099892798595455,-1.8543980640418833
1000,-1.0010946249352628,-1.5878633439907406,-2.002389041943927,-2.328391415052422,-2.592144094971474,-2.8176028884165274,-3.007615037395248,-3.1774704806045784,-3.336810027172625,-3.472695754874613,-3.590569297180783,-3.7084539799278544,-3.8114022183761977,-3.9130532616336113,-3.9951968838635334,-4.062465962133834,-4.131915342902065,-4.191651361768343,-4.258689578367033,-4.273077524553733,-4.323122007940592,-4.327968902013034,-4.363764589132006,-4.3730548069270165,-4.3772434077857145,-4.367244234860246,-4.352460975862528,-4.3549290997728916,-4.3141587112068205,-4.3030186159403225,-4.281032143800467,-4.21330510261154,-4.183696089800067,-4.17953877358068,-4.1517418727469995,-4.09345290124752,-4.04419672280727,-3.99183192716418,-3.9628922458290416,-3.907632610630007,-3.8706100157036483,-3.8097903805932876,-3.7859560604817077,-3.7140893015308,-3.647301859130466,-3.6384601662873526,-3.559693468051576,-3.512066463305727,-3.460689378160805
1500,-1.0009294305792846,-1.5868367916334252,-2.002794527041635,-2.323838534390368,-2.589528669678248,-2.8127068533403294,-3.007286324746278,-3.174632241473639,-3.329776034324689,-3.467367752011996,-3.5987040847608585,-3.7111540205277933,-3.8160041453459796,-3.9144989690272447,-4.005174848265651,-4.093501444494511,-4.171955197027325,-4.241593276421732,-4.311679935275939,-4.360546522323959,-4.4158852664438815,-4.478113068906951,-4.5092914337624315,-4.547068495080225,-4.588061853237127,-4.600364275109896,-4.627916595131624,-4.638265565054664,-4.639874189808054,-4.647353828684416,-4.655428946398748,-4.644235886933154,-4.650503050198665,-4.63605473073727,-4.612743808375417,-4.592478064789063,-4.588612447217983,-4.55583961571675,-4.531376989124038,-4.525362622923085,-4.499939975589098,-4.470982938454213,-4.424690147026671,-4.385291872113066,-4.3734764007920015,-4.340282243580711,-4.297646320774311,-4.2576168706395245,-4.210586291847788
2000,-1.0008474947070019,-1.5864167303281789,-2.0015743863100828,-2.3253723825844848,-2.5889591987009415,-2.811141481100757,-3.005020326068242,-3.1759988894679636,-3.3276496213871627,-3.4698092048613365,-3.591372735228761,-3.703378635435405,-3.8132740598820103,-3.9148786586194535,-4.00604363683014,-4.088665137159266,-4.182574812149092,-4.24415738071212,-4.326161978163247,-4.390579548110237,-4.454420553462932,-4.503907544653873,-4.549167035380279,-4.594134057063017,-4.648043265234467,-4.69733592104697,-4.726032531334682,-4.752861051723223,-4.76397473789036,-4.81256297169907,-4.804633086516203,-4.831499811582728,-4.843577456253132,-4.849766612758648,-4.859846471362645,-4.857585173921143,-4.849449480236928,-4.85356812754011,-4.8354959212493975,-4.829152717240997,-4.811053518636524,-4.803546408000031,-4.783262156469874,-4.764899813490842,-4.737386646994643,-4.741842939896546,-4.694589628131729,-4.671684730163577,-4.648077097516297
2500,-1.000600942294502,-1.586265068366091,-2.001449377268781,-2.324324470080777,-2.5874349626734445,-2.8103052074487893,-3.003739207349146,-3.175582268054713,-3.325351232866928,-3.4669301025125945,-3.589960817128135,-3.7074432894803824,-3.811785066133202,-3.913573431694764,-4.00847294318501,-4.093805829495855,-4.173803600738209,-4.252225587324382,-4.327994041602383,-4.3948202705390145,-4.459369894854373,-4.519277381213345,-4.574947775755797,-4.626325332650804,-4.691140588204447,-4.7296130075581475,-4.768970914169966,-4.808269923564323,-4.834675329409004,-4.870764728466805,-4.913437934353663,-4.92749423283048,-4.957257847074016,-4.973217073750511,-4.982634546777118,-4.983472621939606,-5.00068862519377,-5.011133798610919,-5.006501687993873,-5.011502704826864,-5.017606638309119,-4.999937470570529,-4.9960220541949765,-4.993382617740865,-4.972629829452101,-4.967303866891508,-4.963647435724313,-4.93526909123494,-4.928023529883477
3000,-1.000409357524761,-1.5857503713024346,-2.001601930844889,-2.3232586044848134,-2.586629947227223,-2.8099751551224754,-3.004746688244483,-3.1725130219744497,-3.3266561019861745,-3.4628327504074643,-3.5871676494076734,-3.7043970214165207,-3.815405923569783,-3.9149340274604145,-4.002795672698376,-4.09189314461557,-4.177722569316656,-4.253405531784224,-4.32890406383791,-4.39565322758371,-4.457963357979887,-4.529553507389512,-4.5830407210032735,-4.637352201060326,-4.69390582418042,-4.746536478727295,-4.7899105529880135,-4.828594208159259,-4.8640510377811,-4.906868336035249,-4.947155263094724,-4.974465444601514,-4.994076297270784,-5.025095663067847,-5.05817272198909,-5.073165559127381,-5.088335144148873,-5.098380367324124,-5.117978890436096,-5.131937765723545,-5.128309059295833,-5.144881160660111,-5.133463162096843,-5.132341801893619,-5.142475464201406,-5.135395541187091,-5.120050604702461,-5.119526249701004,-5.107550107435984
3500,-1.0004150780542382,-1.5857998198467105,-2.0011849068550323,-2.3238103780920767,-2.5869944078800793,-2.8092796320308002,-3.0020249815475837,-3.173991786789242,-3.3266421444602097,-3.462441123722009,-3.590551878185666,-3.7043549859379,-3.810225248182528,-3.912409112776169,-4.006177287106196,-4.094042255625333,-4.175498785067676,-4.25079520555703,-4.323026144099802,-4.394988590451993,-4.462115399248321,-4.526926703182221,-4.583504516957418,-4.6426054158051455,-4.696854128620075,-4.7558342396078945,-4.796313396111118,-4.844874059879647,-4.889032752944915,-4.930471732239714,-4.9689347360377685,-4.993643392741282,-5.033852698163645,-5.062817665426265,-5.089063860619786,-5.1275330384486475,-5.147185818847516,-5.166057652576838,-5.179635053726738,-5.198514150670018,-5.21200971776862,-5.2268745364127165,-5.223836386048046,-5.242788246911183,-5.238168525002997,-5.25099727498636,-5.259974537999516,-5.242731950207537,-5.245095750574227
4000,-1.0003105932809395,-1.5857593109554284,-2.0009522487930345,-2.3237838041541417,-2.586666618449491,-2.8098841029627883,-3.002782069206089,-3.1734825980524968,-3.3249710024412935,-3.462742607758911,-3.588715357752375,-3.70397581815141,-3.8122050859589156,-3.9117248320357327,-4.004297182756185,-4.092227898943859,-4.175487041524451,-4.251419319926049,-4.328806027971033,-4.39528043498734,-4.462987803421315,-4.530778140792751,-4.588348473161493,-4.646649399988454,-4.699198418583156,-4.752511476095365,-4.799392440317989,-4.854987089489071,-4.901089556879111,-4.942487729398703,-4.971214982002397,-5.022663160379293,-5.052858950106059,-5.09018887736309,-5.1262640495097465,-5.160718139029137,-5.172762276419516,-5.198218730314859,-5.232013407464932,-5.254875870154611,-5.26144925213725,-5.292698934122558,-5.286901745326025,-5.3142099337806865,-5.315356491605852,-5.3281744788229854,-5.327089524590709,-5.343677604391366,-5.340763554685832
4500,-1.000267331024861,-1.5854630747530918,-2.000695061911802,-2.3230340520546537,-2.5868597438625014,-2.8088451551807476,-3.0014460712091244,-3.1730534900398633,-3.324368756915086,-3.461436746454927,-3.589114504607704,-3.705024316123649,-3.8125671825754304,-3.9120038459428366,-4.003940531256626,-4.093453460189144,-4.172817298048875,-4.252652420532334,-4.324887542633918,-4.3976263728542,-4.459808940937828,-4.52790508420794,-4.586838238150633,-4.642401821352174,-4.703989649784033,-4.754252006961897,-4.804564366813236,-4.852897390482627,-4.903579024758737,-4.948968507936451,-4.986704967186445,-5.029040013841345,-5.069475807856203,-5.104623237286726,-5.141068126523609,-5.171738875329108,-5.197715390589272,-5.234619392375416,-5.250740354523145,-5.277128992477066,-5.298501901789109,-5.315415417817519,-5.335070809857294,-5.352687037483463,-5.370026976487163,-5.381820520527809,-5.386231170566197,-5.404530031378578,-5.412765192849635
5000,-1.0002395370917232,-1.5855705436896674,-2.000866025534864,-2.3230195070429267,-2.5862206631342057,-2.8087351700377514,-3.0013463705931773,-3.1727845055884427,-3.3252053514199806,-3.4628323227994477,-3.5893005357196444,-3.704419531292254,-3.8107962718479937,-3.91013156943338,-4.004464794747651,-4.091816622912375,-4.172368170958479,-4.249531352682612,-4.324191827042246,-4.396699502076505,-4.4605571612564585,-4.531385319016873,-4.586789333227965,-4.644984337483098,-4.703864203292786,-4.759687390619993,-4.805854300012609,-4.856043476987788,-4.905361637267598,-4.950879076557696,-4.988283266046003,-5.035124381015479,-5.078579693301066,-5.112404905144086,-5.1487707477122955,-5.185953014581858,-5.209927647152085,-5.247142147513894,-5.279193346632694,-5.299443277760659,-5.326877853321405,-5.35291296934543,-5.36793970246409,-5.389204100000754,-5.399686698442681,-5.419316463298496,-5.432887913037829,-5.451454490325118,-5.466498083122763
