N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,0.0017372754118932636,0.005070319052917999,0.010070245492864153,0.011297232718215717,0.019642672503697736,0.020127465373748727,0.023763329692220007,0.03149280785209683,0.041003880679743025,0.0435110346828493,0.03565677946151188,0.052884132947759406,0.06698305410523783,0.05882458204017684,0.06121442613935535,0.061164855220684274,0.08164662664614997,0.0650584892575815,0.06384978410069592,0.0678893970056833,0.06830611366853977,0.060733554334004416,0.06255920316549891,0.07555035412449089,0.0655979162667853,0.06066320495258032,0.07681195376394367,0.07730335237176578,0.06270010498352198,0.0806943719378557,0.06854077281138546,0.06795307266730194,0.06214489887946239,0.05167277153336897,0.05466504107113958,0.0646058960762141,0.05196920662885467,0.06173641415739587,0.042937295206494155,0.04975524788347256,0.063862648857803,0.06349686455207608,0.0528086724238675,0.05954382230673152,0.06452906094810304,0.05050000793496946,0.053537025420673706,0.050133817520585836,0.056125527375054975
1000,0.0013460265505711314,0.0036506876512503224,0.006017281355608182,0.00657978464588074,0.010640720789066105,0.010784023318654353,0.014487729372812197,0.01680301355021898,0.016857240971071743,0.020640185700098564,0.01914247799861162,0.028518894357921255,0.026375166610924653,0.02919615233796336,0.029843157214164775,0.03313498386251906,0.030704557067112972,0.040772863562319434,0.048880876883192315,0.04515501186809897,0.059225327974118565,0.037270962653999457,0.04108689220364266,0.04782341590094242,0.04544556072339631,0.06110079354647167,0.05868590079060536,0.04264089353076341,0.05296036708869547,0.048274603409255,0.05204937865360008,0.050362649328624984,0.04703952047782555,0.0525461163909521,0.06433501689051205,0.04628122468776173,0.04604231466830217,0.04887685281839657,0.055031429324550976,0.03817568502931379,0.04411900546699219,0.043040777721407214,0.030593026577910062,0.03913478867499724,0.0484986623886241,0.04190000039694871,0.03738213047239423,0.04062686581048494,0.04913342093009429
1500,0.000576977611486737,0.0021942551897211884,0.0035326133495752845,0.005748323271386091,0.0054889903207223575,0.007312931613441289,0.00745291451656593,0.012990189504815347,0.011996736957645651,0.010361667211380517,0.013428776101849177,0.01712746273361641,0.017886574302104084,0.019087824964227805,0.02048594407852076,0.023035742203458796,0.022878107440167453,0.024973216354469818,0.025364789732062482,0.02605654842251362,0.03360528959170868,0.04136738467030246,0.0347079078724608,0.03177766060487837,0.03480491082370308,0.04632301757189227,0.025217229845783905,0.032027388709610465,0.04024184710789174,0.03542208252440851,0.039472388194390466,0.03890377893768572,0.04736235109116524,0.0282742063402845,0.04086506801829942,0.04109092594480766,0.041901727573593985,0.04366485512775397,0.046741546655967595,0.04831332791879478,0.043710345683781286,0.032656707680594615,0.03536987879101241,0.04944820639623373,0.04668652154720607,0.04205259227641192,0.039318345218294484,0.03784364451958711,0.03897771607428986
2000,0.00035297702361267494,0.0014122834520452826,0.003055065363210105,0.004307307200126907,0.004678604105658583,0.006194177471422983,0.00819012850994394,0.007060450223307458,0.00887433526679704,0.009111560676427176,0.012623506352826375,0.01094937889640777,0.01319351540473753,0.011961650947210117,0.016084227679044768,0.0171666878943323,0.01775235610784589,0.0170118812271724,0.023759981486290396,0.018649867765499907,0.026928538443812537,0.02462709999081248,0.023433774027858977,0.026865354148268152,0.03073534665922085,0.023456391409099945,0.026469050392852068,0.03033266160688648,0.025909075454854068,0.03152108623423397,0.033215113180641416,0.03932554891507772,0.035948630437613566,0.04211515218872151,0.034475288080649126,0.02803728189598865,0.043549508580976955,0.03589972701411042,0.03476892155680139,0.04445122913676681,0.035201956054954915,0.036879537073410254,0.03156560032063786,0.03295472406974393,0.0416644958724446,0.03658742156466572,0.04040131617717683,0.04030632188226647,0.04359344307972845
2500,0.00038811521510117035,0.000861478492909008,0.0022193736997821708,0.0030174216795987746,0.0033990595353794485,0.005372295533166575,0.006005280274704005,0.008237862917815928,0.007341358795530059,0.009198672186096029,0.009306543706256882,0.009457639465689364,0.007377750566921093,0.010089658731175875,0.011926401285864915,0.014849831151356603,0.01517124085360441,0.01633566620590453,0.014912494979611448,0.017763926330914736,0.017672189424297425,0.022519348311607887,0.018179405279516545,0.022389185328434518,0.020924815305753613,0.021388730162930837,0.026353460797758126,0.02193159901203908,0.03138870512881191,0.024773161955281117,0.03196701851385153,0.02740913199172704,0.016585253263235126,0.02481111025828657,0.0335869996706556,0.03179475464897271,0.02613076231712975,0.034157405731108585,0.03495011773783579,0.03784760874972282,0.027862521638824803,0.022877005783560667,0.03791739426131017,0.02679869549933004,0.028956310421580967,0.03129766412998332,0.029806301029676605,0.026258176614584527,0.032998078193648445
3000,0.00045453205950924655,0.0010896022355108,0.0015185863072779567,0.0029163511636132885,0.0034854001174277264,0.0037787863641569226,0.003977248526747965,0.005726094041363858,0.005187074649024698,0.005997363203034839,0.008008538045462735,0.00960307755919104,0.008828693997742179,0.0076416467650307065,0.011731744424319897,0.00833082671312469,0.011439751063000667,0.011175714645703157,0.012487707813832068,0.011481832744738478,0.015087403443487756,0.014503442600276755,0.016478642890694215,0.01900660452697834,0.019473995619091643,0.014187042846723437,0.02045941814012366,0.024497627050669952,0.024830857957518094,0.022589528681679894,0.02675306573853227,0.0236736017721189,0.02051217992701315,0.023636346596983927,0.026084921589642943,0.022873264851500406,0.025700905886888895,0.030122832506789664,0.032582078953694804,0.027992320109269324,0.0293924630048801,0.025166249719169115,0.0290234328706534,0.021712683191894594,0.02817443450749213,0.03768019646860191,0.029690871405152246,0.031135118368880343,0.030858290055697492
3500,0.0002676833667280848,0.0009389018193937062,0.0018829399982893502,0.0018758486338110011,0.00248237256621191,0.002987377889001271,0.004443551563805259,0.00428531842743824,0.005372494209613883,0.006168040514355824,0.006146165738942884,0.00714961753382058,0.009473333794151766,0.007082895502643282,0.007475596421539409,0.009545409448210055,0.009865237282835488,0.010126535667862438,0.014235960256489658,0.012015692212330328,0.012049185777300814,0.014202971643203896,0.015492192883304997,0.015081341214232517,0.016286554142535443,0.015161926080724924,0.016483278443835004,0.01552873212827647,0.015879669579358508,0.01938924121478655,0.018047777740841663,0.02224469512003674,0.01511052680451423,0.01897203902945078,0.023685415408614324,0.02349639392919945,0.018421213560964215,0.020685528890876693,0.028761791374849844,0.027065650571228613,0.02229565052483446,0.027519599310215647,0.02354847126858092,0.027075412318675413,0.025457588457520285,0.03504232079321718,0.03367415127927761,0.025607571881700635,0.024994453977886986
4000,0.0003709571629893736,0.0007326202841421207,0.0012675106991343315,0.0013147685810641174,0.0030399165768341093,0.0027096710648257306,0.003838599496381454,0.0038425844716074324,0.004925765909040315,0.004874143118433737,0.0056574468152714085,0.005787089082746943,0.006042222262839185,0.006629428056266304,0.009128024845197626,0.006697904276082041,0.009438623674065545,0.009156411776964737,0.008884474838405152,0.012272884258161757,0.009199547829746116,0.009818267923171696,0.01050618819957022,0.011438152774946425,0.012303888345196334,0.013825106138184835,0.016846601903568046,0.012089003485960984,0.015822534827188064,0.013968585091091884,0.014575289080748365,0.019502731429524457,0.018855050039661817,0.021880262782912847,0.02098624045754298,0.021180032833457596,0.026710825681850972,0.019402606193404934,0.021509931153360255,0.01766457721581758,0.02563732030867625,0.025094080534361723,0.024494079775963313,0.023180424034904452,0.02428037062427541,0.025435118941328216,0.023155001744100647,0.024084162041869292,0.022523509805882705
4500,0.00025186378833821313,0.0008363312685586033,0.0016526596263773607,0.0017918332930754322,0.0023674199064156677,0.0025769781542834278,0.003125420761114695,0.002475717145920494,0.0035733058393912793,0.00444918024089543,0.004602351997374733,0.00533664706880624,0.005442525872310776,0.0064249464155322145,0.00808375238359955,0.006947721336843861,0.007218795131026419,0.007894889275481265,0.008693858365805466,0.01045167001496837,0.009048914714349189,0.0106536048024126,0.012319542805207626,0.008159958658730218,0.010088111402909042,0.012061838450000077,0.01214583448593855,0.015238129517949232,0.014471629377927755,0.013273550025998814,0.01856749829906083,0.014560989582771801,0.016819504878495546,0.018932338025542485,0.01653206441864857,0.016788088411606963,0.018777724254849273,0.020075314271628168,0.015846092811398267,0.0148508111521784,0.019030890096419478,0.019760450969428776,0.021988833730110995,0.021084464740746912,0.021018698398267248,0.022436303222613314,0.024943023156065003,0.02253289263102585,0.02245693391536993
5000,0.00022094230164947118,0.0006374374027339253,0.0010331688412671578,0.001347872698803049,0.0016931735844354216,0.002237606196681768,0.0034906968730415394,0.0023645766648316404,0.0034469554657885937,0.0035269642514968507,0.003429573768408875,0.004662021643999171,0.0037085158513236677,0.0051963201304001195,0.005699215045133888,0.005757270232531354,0.007378889527892046,0.004428616735500405,0.006902580948369741,0.008170203643086993,0.009324846385510474,0.00975727166497332,0.010706638465775879,0.008665685384125483,0.007810520061634551,0.009127010537199026,0.010979763771646271,0.010510099776230656,0.0107887760706581,0.013137821674820364,0.016085760873073944,0.01068953855852124,0.013627376012124543,0.015386381929220101,0.01227597766799778,0.015373950698712913,0.017781392397119962,0.011053454001493294,0.015120313338049467,0.012165656792967479,0.01985994556609894,0.013228773966009659,0.01993241967428048,0.022403959234312248,0.022039026886352474,0.02173196317760811,0.02532480317645673,0.017923511447384032,0.019891777752334708
