N,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,0.0017372754118932742,0.005070319052917999,0.010070245492864064,0.011297232718215717,0.019642672503697736,0.02012746537374864,0.023763329692220007,0.0316450883688217,0.04215557713047116,0.044951813174159416,0.037719284946464156,0.05793369044572779,0.07480471593337062,0.06851550153088855,0.07215456364726844,0.07383006990887567,0.10029511448229017,0.0793582108262512,0.0808213120740237,0.08593789075765927,0.08733827450113038,0.07692502188802924,0.07892022636967001,0.0978127148118912,0.0859078162567446,0.0791363665922408,0.10095839071418418,0.1001101827918389,0.08234217898205361,0.10600656259230684,0.08961056993606502,0.08967323032726365,0.08380531270979137,0.06706271622502016,0.07417158927659209,0.08601662867567879,0.0684640786396345,0.08308558690447651,0.058799821266667524,0.06529672494019104,0.08546575284923291,0.08384287032304541,0.07239433059014883,0.08140252747732026,0.08682845618132583,0.06666688159290754,0.06921110800064201,0.06668159668562465,0.07437810284886229
1000,0.0013460265505711349,0.0036506876512503224,0.006017281355608022,0.006579784645880742,0.010640720789066105,0.010784023318654353,0.014487729372812197,0.01680301355021894,0.016857240971071743,0.020640185700098564,0.01924849986484224,0.028599599736747153,0.026723044534334536,0.030285430990167606,0.031219383770224825,0.03500515340277733,0.033592459318536314,0.04678052703706251,0.05645183554745579,0.052232204250461815,0.06943132189891263,0.044703412064158225,0.048672642848719305,0.05687985768392708,0.05619491574374984,0.07552900098907174,0.07315694763868333,0.052843652997002416,0.0674351912841724,0.061088127703823075,0.06655542401549089,0.06430992816577934,0.060756415123302966,0.06714423725809908,0.08397534961054318,0.060717687880691804,0.05928785774062596,0.062437119075216915,0.07204218071671033,0.049745651141274536,0.057636817458967954,0.05632152863606695,0.040549850929446,0.05199550258670685,0.06408587794507833,0.05520370308047062,0.050279028273415544,0.05477537343236032,0.06524481859411582
1500,0.0005769776114867737,0.0021942551897211884,0.0035326133495751856,0.005748323271386117,0.0054889903207223575,0.007312931613441289,0.00745291451656593,0.012990189504815359,0.01199673695764573,0.010361667211380517,0.013428776101849177,0.01712746273361641,0.017910922715765252,0.019260499005135545,0.020620631877729664,0.023352468875581726,0.02332377848298097,0.025599358800069676,0.026756595494656782,0.028872486331938358,0.03707897486316476,0.04595442029628067,0.039199110401093154,0.03705932108774539,0.04041473737832659,0.054416685409703666,0.030314094146855698,0.03828442263133604,0.04854006232536547,0.043302979110286466,0.048327778132254,0.047697275556827554,0.05901498846110441,0.035009040578040315,0.05164085587286272,0.05100987413245368,0.05273494278977782,0.05527411894999834,0.05927407078263974,0.06260549813330465,0.055445793370753005,0.04145008432413912,0.0459044611777185,0.06432442501209618,0.060219844256514055,0.05522588134712731,0.051827634436232,0.049282900106645974,0.051148395441899516
2000,0.0003529770236126568,0.0014122834520452826,0.0030550653632102306,0.004307307200126907,0.004678604105658583,0.006194177471422961,0.00819012850994394,0.007060450223307458,0.00887433526679704,0.009111560676427176,0.012623506352826327,0.01094937889640777,0.01319351540473753,0.011961650947210117,0.01608953370853061,0.017256216059151758,0.01800484371433924,0.017284373362963675,0.024413211005969705,0.01957007510021108,0.028498814696505198,0.025977409177977813,0.025873622455008967,0.029855449229402354,0.03352488408552644,0.026558902567815637,0.030229384755217383,0.03457419269616259,0.02985353445675444,0.03656377439721797,0.038395000710614004,0.046961647646171376,0.04254509405728391,0.050658883390845864,0.041830343292822335,0.03422646285726444,0.054458514016066085,0.0431882018500184,0.04256887465964655,0.055730558968615104,0.04341410715491375,0.047470119831249054,0.039278415395046055,0.04191764824134675,0.053565140790007085,0.04699035917670363,0.05164045911293099,0.05220092436379036,0.05644369183448809
2500,0.00038811521510117403,0.000861478492909008,0.002219373699782052,0.0030174216795987746,0.0033990595353794485,0.005372295533166556,0.006005280274704005,0.008237862917815928,0.00734135879553001,0.009198672186096001,0.009306543706256882,0.009457639465689364,0.007377750566921093,0.010089658731175875,0.011926401285865244,0.014849831151356718,0.015269671852493687,0.016345944011961676,0.015104652106787774,0.017819985304450576,0.018071944233827533,0.023194397323214145,0.018740281512415604,0.02374004436750014,0.021835843104312688,0.023401310573646965,0.02886292592654654,0.024840933880320076,0.03468676326905111,0.027720734774704815,0.03736133998328011,0.03186204790589133,0.01968766262619671,0.029113452708530642,0.04044739942296196,0.03752957678754227,0.031385722816181634,0.0407559800895256,0.04237705210490591,0.046571490629041194,0.03424759048133672,0.02821680920531125,0.047803160364091726,0.03336298692147264,0.0356714059892973,0.039149909841805004,0.03837339340949529,0.032959557200207594,0.0428309609170205
3000,0.0004545320595091333,0.0010896022355108,0.001518586307277914,0.0029163511636132885,0.0034854001174277264,0.0037787863641568996,0.003977248526747965,0.005726094041363858,0.005187074649024698,0.005997363203034839,0.008008538045462735,0.00960307755919104,0.008828693997742179,0.0076416467650307065,0.01175958853819361,0.00833082671312469,0.011439751063000667,0.01120391192368427,0.012545167005991197,0.01156200543851565,0.015142590585233751,0.014829296394403257,0.016746077728586894,0.019459225070679587,0.020251546287774806,0.01518525971816379,0.021379282257398873,0.026481099378227773,0.02698253803995172,0.024627258800838086,0.030004671960690864,0.02689061859575821,0.022866147360639622,0.027501742866201176,0.029387673981533646,0.025895551716299748,0.03008596374484173,0.03529361602308412,0.0384121874491811,0.03360948839029391,0.0347301555200681,0.030398956369580846,0.035271085403541895,0.02714495625931016,0.03424915371786395,0.04605490228303737,0.03669490314730862,0.038264592152399864,0.03826653257469149
3500,0.0002676833667280275,0.0009389018193937062,0.0018829399982894716,0.0018758486338110226,0.00248237256621191,0.002987377889001271,0.004443551563805259,0.00428531842743824,0.005372494209613883,0.006168040514355824,0.006146165738942884,0.00714961753382058,0.009473333794151807,0.007082895502643256,0.007475596421539228,0.009545409448210083,0.009865237282835488,0.010126535667862438,0.014235960256489658,0.011996787228525136,0.012078215849085312,0.014223619386106664,0.015592599735360634,0.015197121753639723,0.016364221033315217,0.015444994934496893,0.0170650929099921,0.01607202293093652,0.016850316201207985,0.021098982979681092,0.01959929476823457,0.024438387330801697,0.016907326002317768,0.021614931423807042,0.026556369908250697,0.026565354996127145,0.020714379533177556,0.023650634282328706,0.03260190945416554,0.031229063143824946,0.025432881187519022,0.0320142764894898,0.028740826994045496,0.03241519637746019,0.030553840412920516,0.04255435604317408,0.040770774815356174,0.03163795037995758,0.030746811044989733
4000,0.00037095716298936554,0.0007326202841421207,0.001267510699134356,0.0013147685810641252,0.0030399165768341093,0.0027096710648257306,0.003838599496381454,0.0038425844716073543,0.004925765909040315,0.004874143118433737,0.0056574468152714085,0.005787089082746943,0.006042222262839177,0.006629428056266317,0.009128024845197508,0.006697904276082199,0.009438623674065345,0.009156411776964737,0.008884474838405145,0.012272884258161757,0.009215425011893656,0.00982396082376238,0.010528136787519135,0.01146561265256845,0.012463787523080548,0.01393037980323315,0.017322145379952605,0.012618631253029021,0.016820391536443404,0.014553661311169034,0.015715664970972255,0.020540230195227254,0.020254231657107165,0.024509812170890155,0.022927786722081303,0.023168171108700043,0.030068988997377078,0.021488156793221393,0.024199683978832043,0.020474527823255522,0.029309500388395224,0.029670494583368665,0.029231193498940575,0.027640678985625403,0.02825643431887933,0.030883181343936035,0.02737798245634654,0.029122605959272786,0.02640884454427365
4500,0.00025186378833821574,0.0008363312685585315,0.0016526596263774654,0.0017918332930754322,0.0023674199064157267,0.002576978154283369,0.003125420761114695,0.002475717145920494,0.0035733058393912793,0.00444918024089543,0.004602351997374658,0.00533664706880624,0.005442525872310776,0.0064249464155322145,0.008083752383599558,0.006947721336843861,0.00721879513102652,0.007894889275481471,0.008693858365805458,0.010451670014968368,0.009054494568741063,0.010663150202013406,0.012357049287477958,0.008111897034008428,0.010176374647837138,0.012098169602779473,0.012162563377330562,0.015444461561997115,0.01492602549469613,0.013626555450101883,0.019382585329452234,0.015349504864715556,0.01798536069153731,0.020001521110657054,0.01758451638910985,0.018132394304306597,0.02061257636802612,0.022538982590749893,0.017592595511531445,0.016358552258334266,0.021909695476443915,0.02193241265037436,0.02536325657393158,0.02439042921922124,0.024880931568938117,0.02660350430839005,0.028858553445869295,0.026030903879290884,0.026938804834151366
5000,0.00022094230164951392,0.0006374374027339395,0.0010331688412672038,0.001347872698803049,0.001693173584435434,0.002237606196681768,0.0034906968730415598,0.0023645766648316404,0.0034469554657886084,0.0035269642514968507,0.0034295737684088517,0.004662021643999171,0.0037085158513236677,0.005196320130400004,0.005699215045133616,0.005757270232531354,0.007378889527892046,0.004428616735500289,0.006902580948369741,0.008182077037064436,0.009348814531123309,0.009757271664973319,0.01073211149719051,0.008704229107997702,0.007797216225087113,0.009178200939863379,0.01106298854650804,0.010593185055844454,0.011038647573315949,0.01320045780011957,0.016590550917760547,0.011125031010359816,0.014081646652474427,0.016297070385663057,0.01291655080205855,0.015948152467558933,0.019086904031298594,0.012533510496667698,0.01694970060234177,0.013219671230224888,0.02242188582804265,0.014480627486634772,0.02175564361179919,0.025797372266130384,0.02558486815115249,0.02525363116895427,0.02988044771830887,0.021024455224580154,0.02363618393693962
