N,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2_bins,3_bins,4_bins,5_bins,6_bins,7_bins,8_bins,9_bins,10_bins,11_bins,12_bins,13_bins,14_bins,15_bins,16_bins,17_bins,18_bins,19_bins,20_bins,21_bins,22_bins,23_bins,24_bins,25_bins,26_bins,27_bins,28_bins,29_bins,30_bins,31_bins,32_bins,33_bins,34_bins,35_bins,36_bins,37_bins,38_bins,39_bins,40_bins,41_bins,42_bins,43_bins,44_bins,45_bins,46_bins,47_bins,48_bins,49_bins,50_bins
500,0,0,0,0,-0.0014246026103359,-0.0080198669914139,-0.0241117403389676,-0.0421816138093511,-0.0642001751362477,-0.0971170015077733,-0.1343500217422226,-0.189731706411059,-0.2417910814149824,-0.2881922581015046,-0.3593937565275356,-0.4453047753944066,-0.5223824972088216,-0.6387779382720722,-0.7202904922785174,-0.8292471890493633,-0.956749700568658,-1.033065576041086,-1.20434647360659,-1.3285112753690744,-1.4556720922745905,-1.6050593890006088,-1.747601819748812,-1.892786520260768,-2.0206279693055595,-2.138934594954641,-2.3010095468685274,-2.447157423380163,-2.5386191820669315,-2.690477788172953,-2.831219158378545,-2.946651801753203,-3.068152690490566,-3.206001733555805,-3.3157626201169426,-3.450033447656084,-3.5748793901922644,-3.6907302261631534,-3.805407557727438,-3.915561337889432,-4.044974664069146,-4.154186034714911,-4.255625290303691,-4.363442380659377,-4.483756877152826,-4.567842156086182,-4.678278297095494,-4.811556199625676,-4.901583642919447
1000,1,1,1,1,-0.0010694176260706,-0.0043126319348603,-0.0127592559854072,-0.0195051905709413,-0.0324925193741285,-0.0460171402357469,-0.0681264522514224,-0.0905577836181832,-0.108468493710744,-0.1382188430560251,-0.176846036378131,-0.2081014553384039,-0.2480396171594043,-0.2844442050446414,-0.3351321906653428,-0.3948077079310419,-0.4482640383343712,-0.5087534063327173,-0.5585638138922073,-0.6507287512885216,-0.7083381944091798,-0.8026310374153587,-0.8661306847012122,-0.9489642317349132,-1.0355029418769548,-1.1288518894772754,-1.2254854573685674,-1.3024973073459507,-1.4139139016756963,-1.4981839529524628,-1.5906922897393416,-1.7154610768118483,-1.808913620104008,-1.8808596227540224,-1.9691115199799245,-2.0785665956625463,-2.1801948841446617,-2.283018640574416,-2.365363729913069,-2.466827038476011,-2.5527534629637585,-2.6548300848712936,-2.7289031602352587,-2.837711841339997,-2.940776677763817,-2.999785020436682,-3.110560422095652,-3.1963985811421014,-3.284375936324466
1500,2,2,2,2,-0.0005132644616043,-0.0029346925573607,-0.0073043382445876,-0.015401900987662,-0.0218832401258719,-0.032158139780388,-0.0432080016848357,-0.0606949351556393,-0.0743856778933444,-0.0930525194875286,-0.1079256977419338,-0.1335552017021952,-0.1600819767160377,-0.187411936219664,-0.2180581643945687,-0.247170406376739,-0.2819563082415306,-0.322797409213297,-0.3592200600575648,-0.4137644873924015,-0.4593631228674129,-0.4958903388053945,-0.5585891869789572,-0.6131442797735582,-0.662044675482659,-0.7349995917276955,-0.791205144042495,-0.8602720282276071,-0.9346636108340788,-1.0009070359292411,-1.067200969637634,-1.1466086465812504,-1.209058117045649,-1.2882173735171103,-1.3727206697365273,-1.452327789404395,-1.517045357868787,-1.6041884567119835,-1.683002258057238,-1.745639761806295,-1.8219860117589164,-1.900952385605701,-1.99031854691588,-2.0745134169837107,-2.136888963233062,-2.213421013747229,-2.2970103492303333,-2.3774310261719536,-2.4617191027419816
2000,3,3,3,3,-0.0002345265736648,-0.0021525079951996,-0.0059997626545844,-0.0095399676708778,-0.0158403588324373,-0.0243459942541814,-0.032850418755093,-0.042977743364573,-0.0559536864982019,-0.0653639034226314,-0.0848402268286214,-0.1052632107723599,-0.1206773520136001,-0.1384454836392952,-0.1616456167558539,-0.1890410901496308,-0.2015663579478834,-0.2431613298496406,-0.261366273751773,-0.2946049679689828,-0.3264435202844273,-0.3694598689840171,-0.4134930270456083,-0.4558888765566475,-0.4897013647174173,-0.5255137625461819,-0.5772969008631996,-0.6280728508092501,-0.6931357013958612,-0.7217891044639533,-0.7988943389223477,-0.8454199035361434,-0.9012974702129596,-0.9598673405522042,-1.0162777525948157,-1.0800204237618152,-1.147837882361732,-1.2040847017926533,-1.276427933111414,-1.3396988436209956,-1.4101402949676416,-1.4704219078110738,-1.5395983992221205,-1.60714152728519,-1.6810309530910978,-1.7284484991506657,-1.814707585286985,-1.881762732140732,-1.948294448088016
2500,4,4,4,4,-0.0002646747300314,-0.001582822436843,-0.0046099419029523,-0.0079910291009857,-0.0133971834974895,-0.0195557572466831,-0.0265573885095222,-0.0335840384997783,-0.0459170324188371,-0.0530947078420389,-0.0680020526620031,-0.0795581311140471,-0.096847047794808,-0.110464001233939,-0.125697695617664,-0.1460056080723593,-0.1676866949666191,-0.187791961830098,-0.2075298630720592,-0.2335412968630601,-0.2594582921347594,-0.2877260605436529,-0.318366745038027,-0.3516397926599257,-0.3692996324731377,-0.4112242719439356,-0.4495905664087498,-0.4878671734481665,-0.5365322381592188,-0.5739671317561958,-0.6043549337883256,-0.6581413580678781,-0.6972610889812003,-0.747744033363837,-0.8022824966953417,-0.8616514146389003,-0.9067236453409784,-0.957086365137136,-1.017691880930481,-1.0688395152765915,-1.1190837177667117,-1.1869353456221088,-1.2439460534310074,-1.2980313061833506,-1.3647467812034364,-1.4197584952468183,-1.4711393878159562,-1.54267252161271,-1.5960112863706648
3000,5,5,5,5,-0.0003119899956833,-0.0016166211535364,-0.0034475017982225,-0.0073256606478819,-0.011557258035415,-0.0161348024666851,-0.0205004749710733,-0.0301130670613458,-0.036388801566523,-0.0470931946609467,-0.0586284922043005,-0.0681774487690192,-0.0763466583798253,-0.089578932581591,-0.1089971630256201,-0.1225268602329991,-0.1352696903471448,-0.1546290713082383,-0.171116718874746,-0.1937363377804812,-0.2182732654132237,-0.231460022452925,-0.2606611203288684,-0.2871883238917965,-0.3098044215004307,-0.3351054202526251,-0.3672498266504673,-0.4028043533850729,-0.4396287839065786,-0.4688674353544826,-0.4989260435481428,-0.5399266591887661,-0.5856340919308698,-0.6199668609398223,-0.6529071892906728,-0.6987304831645806,-0.7449258072731624,-0.7929217088216918,-0.8327718829400688,-0.8757888039884989,-0.9323769160369864,-0.9722100993992172,-1.0338347933250729,-1.0857800079644582,-1.1274567562870628,-1.1827476758534798,-1.242219954104769,-1.2911665383073403,-1.347789982948984
3500,6,6,6,6,-0.0002032198204283,-0.0012236737900013,-0.0031431782676347,-0.0055372912912852,-0.009303553876633,-0.0141510347681381,-0.0196154440657512,-0.0239627183046273,-0.0305289292831538,-0.040271346141957,-0.0465537432990479,-0.0579145196698611,-0.0694705252110794,-0.0781577952039103,-0.0896588834671425,-0.1022410115663445,-0.1170552948501981,-0.1343944360625624,-0.1516215258302349,-0.1662615516384802,-0.1833414399470294,-0.2004399723177057,-0.2238391193521947,-0.2428815833893249,-0.2650843706467203,-0.2813131123173065,-0.3139387847693164,-0.3377820192117937,-0.3639947328547928,-0.3918179128654024,-0.4211562630658356,-0.4621523924676225,-0.4878613503942715,-0.5227554430699541,-0.5593549960506987,-0.5839644614568913,-0.6236018573197688,-0.6632405967005495,-0.7076096579447713,-0.7446209010685108,-0.7862258822307364,-0.8260832040987767,-0.879655518700396,-0.913721324732423,-0.9669775281810428,-1.0055795036823063,-1.045868324771929,-1.1062134900507612,-1.151490011772507
4000,7,7,7,7,-0.0002304173593939,-0.0010065585668388,-0.0028348256892991,-0.0046364184172205,-0.0082144106777768,-0.0115370957434834,-0.0161533032055789,-0.0209682190849274,-0.0277946989450703,-0.0345597557017218,-0.0418723736368944,-0.0505649640230183,-0.0584480810176923,-0.0683825368979014,-0.0795594664954872,-0.0904528150051517,-0.1017384035839779,-0.1166125556715425,-0.1267516950786698,-0.1449132294825394,-0.1592639730389757,-0.171305304115596,-0.1914259479143689,-0.2090184667061176,-0.2306418335179554,-0.2500386747540419,-0.2742960087463917,-0.2886595461931884,-0.3111594665922315,-0.3373729415515072,-0.3741902557037679,-0.3881634769062838,-0.4216789706147885,-0.4465833538809649,-0.4724419405434394,-0.4984593382209263,-0.5445340461186188,-0.5768702528011271,-0.6020714269380125,-0.6351989189729368,-0.6811841939886056,-0.7058468759241698,-0.761558213588887,-0.7877709177996053,-0.8367876937664827,-0.8723930998713598,-0.9206831452908596,-0.95383575765924,-1.001633551428653
4500,8,8,8,8,-0.0002135673221019,-0.001102420457941,-0.0026712265169392,-0.004664822996264,-0.0069192265529762,-0.0110131238978943,-0.0153853709345801,-0.0186722364647708,-0.0249705437491662,-0.0316577564697793,-0.0364037567073309,-0.043505236713742,-0.0510528460768435,-0.0599683259546734,-0.0705987125226368,-0.0786474901266798,-0.0924858755410955,-0.1020345259370341,-0.1158224439533022,-0.126136598094444,-0.1443410202455313,-0.1543426397169263,-0.1713759070363885,-0.1898596541327171,-0.2006395064775432,-0.2211006707092702,-0.2401940391950958,-0.2597139360468796,-0.2761198597669185,-0.2963743483317493,-0.3231966142264362,-0.3439359160520183,-0.3657299713980393,-0.3920233702182329,-0.4160975971531657,-0.4442445795624872,-0.4763628646730478,-0.4969389395392278,-0.5355004376719492,-0.5648586336116654,-0.5980000345755805,-0.6332118079857088,-0.6663759923270209,-0.6997439185860008,-0.732643455612612,-0.7704608566452285,-0.8121973214307436,-0.8426466320324195,-0.8814365480979687
5000,9,9,9,9,-0.0001932714205435,-0.0008346520723774,-0.0021636340510027,-0.0041022899916356,-0.0066766603118395,-0.0098727733387864,-0.0138019273361562,-0.0167611484099592,-0.0213928286665829,-0.0268958916965171,-0.0321621495360022,-0.0393010380755072,-0.0471972461448122,-0.0553324448352312,-0.0626205246536861,-0.0718205164969019,-0.083397185416727,-0.0944796504841782,-0.104639970374988,-0.1139092960882113,-0.129140201606174,-0.1350034460881488,-0.15410926547941,-0.1684654633315929,-0.1804421888261336,-0.1938592186738859,-0.2154426786418888,-0.2316818944178829,-0.2475276987463672,-0.2661474163783301,-0.2914168305146098,-0.3064072089644654,-0.3243043737222963,-0.3498425092711139,-0.3726236195913852,-0.3937536063408355,-0.4262291017947195,-0.4459656899035762,-0.4686664141597862,-0.5027569564263423,-0.5286504752190444,-0.5554716141209415,-0.591260714271022,-0.6205476621072412,-0.6591439716849559,-0.6890653067747801,-0.7229009255283936,-0.7526058959601709,-0.7837709221722893
